Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Cash from Operating Activity,15,42,13,25,24,15,-23,-13,-11,-1,2,-1
  └─ Profit from operations,19.35,22.48,16.16,18.76,17.49,4.74,0.47,-15.34,-5.90,1.42,1.95,0.44
  └─ Receivables,-0.69,0.20,-3.85,0.02,-0.50,-5.52,9.84,4.89,-6.23,-2.27,0.37,-1.76
  └─ Payables,0.00,0.00,0.00,6.85,8.39,8.76,-30.28,-0.35,-1.96,0.00,0.00,0.00
  └─ Loans Advances,0.51,16.91,-13.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Other WC items,-3.04,2.90,14.92,0.54,-0.06,8.70,-3.93,-3.20,2.25,-0.05,-0.24,-0.58
  └─ Working capital changes,-3.22,20.02,-2.09,7.41,7.83,11.94,-24.37,1.34,-5.94,-2.32,0.13,-2.34
  └─ Direct taxes,-1.06,-0.75,-1.22,-1.38,-1.70,-1.23,0.43,0.89,1.25,0.22,-0.29,0.86
Cash from Investing Activity,-0,1,-126,-1,-2,0,-0,1,-5,3,-2,-3
  └─ Fixed assets purchased,-0.39,0.00,-140.02,-1.28,-0.32,-0.28,-2.59,-0.06,-0.66,-2.10,-0.26,-0.11
  └─ Fixed assets sold,0.00,0.54,13.04,0.00,0.02,0.10,2.09,0.11,0.00,0.00,0.00,0.01
  └─ Investments purchased,0.00,0.00,0.00,0.00,-2.07,0.00,0.00,0.00,-5.00,-8.35,-6.60,-14.00
  └─ Investments sold,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.57,0.00,13.35,4.33,11.16
  └─ Investment income,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Interest received,0.07,0.58,0.99,0.22,0.20,0.53,0.15,0.13,0.48,0.16,0.19,0.59
  └─ Other investing items,0.00,0.00,0.00,0.00,0.00,0.09,-0.04,0.25,0.34,0.12,0.06,-0.83
Cash from Financing Activity,-13,-27,97,-24,-17,-21,24,12,17,-2,5,-3
  └─ Proceeds from shares,0.00,6.70,25.00,3.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Proceeds from borrowings,0.00,0.00,9.59,0.00,0.00,2.66,66.50,54.70,53.85,1.70,8.00,0.26
  └─ Repayment of borrowings,-7.51,0.00,0.00,0.00,-14.40,-14.79,-33.78,-30.17,-30.05,-0.39,0.00,0.00
  └─ Interest paid fin,-5.46,-3.59,-5.65,-11.42,-10.31,-8.50,-7.16,-12.02,-4.89,-2.30,-1.97,-1.74
  └─ Financial liabilities,0.00,0.00,0.00,0.00,0.00,0.00,-1.73,-0.27,-1.80,-1.41,-1.36,-1.83
  └─ Other financing items,0.00,-29.84,68.26,-16.40,7.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Net Cash Flow,2,16,-16,-1,5,-5,0,0,2,0,4,-8
  └─ Free Cash Flow,15,42,-114,24,23,15,-24,-13,-11,-3,2,-1
  └─ CFO/OP,89%,207%,98%,218%,235%,665%,565%,71%,117%,51%,-95%,75%
