Metric,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016
Cash from Operating Activity,8,30,10,11,19,32,36,47,85,79,66
  └─ Profit from operations,10,13,-1,21,37,58,61,59,66,75,86
  └─ Receivables,-1,3,-3,-5,23,31,-9,-1,-6,-10,-15
  └─ Inventory,0,0,-4,1,-2,1,-1,1,-1,-2,1
  └─ Payables,-3,20,26,1,-32,0,5,0,0,0,0
  └─ Loans Advances,0,0,0,0,0,-7,-12,-5,-7,1,-5
  └─ Other WC items,0,0,0,0,0,-37,0,2,47,27,18
  └─ Working capital changes,-4,23,19,-4,-11,-13,-16,-3,33,15,-1
  └─ Direct taxes,2,-5,-8,-6,-8,-13,-9,-10,-14,-12,-19
  └─ Exceptional CF items,0,0,0,0,0,0,0,0,0,0,0
Cash from Investing Activity,-6,-82,-103,-10,-3,-47,-2,-11,-14,-10,-18
  └─ Fixed assets purchased,-5.60,-82.04,-105.41,-11.00,-3.59,-2.02,-11.34,-11.53,-7.33,-17.07,-23.29
  └─ Fixed assets sold,0.00,0.01,0.10,0.09,0.12,0.16,0.06,1.33,0.36,0.45,2.43
  └─ Investments purchased,-0.17,0.00,0.00,0.00,-0.29,-35.02,0.00,-0.05,0.00,0.00,0.00
  └─ Investments sold,0.00,0.00,2.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Interest received,0.00,0.00,0.00,0.46,0.50,0.93,1.36,1.03,0.74,1.99,3.30
  └─ Other investing items,0.00,0.00,0.00,0.00,0.00,-10.82,7.85,-2.01,-8.03,4.78,-0.24
Cash from Financing Activity,0,51,96,-3,-13,3,-36,-42,-62,-62,-67
  └─ Proceeds from debentures,0,0,0,0,0,26,0,0,0,0,49
  └─ Redemption of debentures,0,0,0,0,0,0,-3,0,0,0,0
  └─ Proceeds from borrowings,0,53,109,20,7,0,9,27,12,0,0
  └─ Repayment of borrowings,0,0,0,0,0,0,-8,-34,-44,-35,-95
  └─ Interest paid fin,0,-1,-13,-21,-17,-19,-27,-26,-22,-19,-12
  └─ Dividends paid,0,0,0,-2,-3,-4,-8,-8,-8,-8,-8
Net Cash Flow,2,-0,3,-2,2,-11,-2,-6,8,8,-19
  └─ Free Cash Flow,2,-52,-95,0,15,31,24,37,78,63,45
  └─ CFO/OP,-18%,-90%,-30%,-50%,-104%,86%,74%,99%,155%,123%,102%
