Metric,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,1875,1606,1843,2340,3604,1932,2252,2635,2117,2278
  └─ Profit from operations,1922,2051,2030,2130,2779,2423,2343,2643,2418,3036
  └─ Receivables,-116,-443,11,127,-25,-168,-30,-136,-66,25
  └─ Inventory,14,-127,-244,59,73,-210,-371,98,-184,194
  └─ Payables,74,211,-175,-7,553,29,403,305,284,-536
  └─ Other WC items,0,0,245,97,180,-166,-79,-221,-264,-342
  └─ Working capital changes,-28,-359,-163,276,781,-515,-77,46,-230,-659
  └─ Direct taxes,-19,-86,-24,-66,44,24,-14,-54,-71,-99
Cash from Investing Activity,-139,135,189,-1760,-300,-1045,-2326,-2750,-2270,-3023
  └─ Fixed assets purchased,-416,-402,-926,-1350,-1035,-1769,-2709,-2827,-2664,-2056
  └─ Fixed assets sold,24,9,0,5,8,13,8,104,38,15
  └─ Investments purchased,0,-188,-16,-544,0,0,0,-570,-54,-1083
  └─ Investments sold,150,1,1228,0,672,544,331,0,77,0
  └─ Interest received,69,105,48,62,106,46,58,100,87,24
  └─ Dividends received,16,28,8,13,15,29,19,34,49,43
  └─ Redemp n Canc of Shares,0,588,6,7,0,0,0,600,0,0
  └─ Acquisition of companies,0,0,0,0,-69,0,0,0,0,0
  └─ Other investing items,18,-6,-159,47,3,92,-33,-191,197,34
Cash from Financing Activity,-1749,-1564,-2067,-594,-3375,-942,168,222,-39,808
  └─ Proceeds from shares,0,4,4,0,5,5,0,3,0,0
  └─ Proceeds from borrowings,147,0,471,1312,1461,760,1534,1450,907,1847
  └─ Repayment of borrowings,-1047,-773,-2349,-1864,-3995,-1340,-867,-561,-259,-316
  └─ Interest paid fin,-810,-762,-522,-467,-396,-232,-297,-452,-464,-494
  └─ Dividends paid,0,-33,-40,-93,0,-100,-169,-169,-169,-169
  └─ Financial liabilities,0,0,0,-43,-45,-35,-33,-49,-54,-60
  └─ Other financing items,-39,0,369,561,-405,0,0,0,0,0
Net Cash Flow,-13,177,-35,-14,-71,-55,94,107,-192,63
  └─ Free Cash Flow,1483,1213,917,995,2577,176,-449,-88,-509,237
  └─ CFO/OP,100%,83%,96%,116%,129%,79%,97%,102%,91%,77%
