Metric,Mar 2021,Mar 2022,Mar 2023,Mar 2025,Mar 2026
Cash from Operating Activity,-579,149,-27,260,187
  └─ Profit from operations,-35,-8,-9,8,-20
  └─ Receivables,0,0,0,158,222
  └─ Payables,-308,87,-201,29,-8
  └─ Other WC items,-251,73,187,84,21
  └─ Working capital changes,-558,161,-14,272,235
  └─ Direct taxes,14,-3,-4,-19,-28
Cash from Investing Activity,34,80,15,-1094,602
  └─ Fixed assets purchased,0,0,0,-0,-0
  └─ Investments purchased,-77,-111,-115,0,0
  └─ Investments sold,100,49,126,20,0
  └─ Interest received,40,151,297,0,489
  └─ Investment in group cos,0,0,0,-1135,-26
  └─ Redemp n Canc of Shares,0,0,0,142,0
  └─ Other investing items,-29,-9,-294,-122,139
Cash from Financing Activity,523,-56,-7,1049,-829
  └─ Proceeds from shares,0,0,0,1520,0
  └─ Proceeds from debentures,63,0,919,0,0
  └─ Redemption of debentures,0,0,-472,-921,0
  └─ Proceeds from borrowings,1487,2680,2140,3222,71
  └─ Repayment of borrowings,-820,-2551,-2402,-2145,-104
  └─ Interest paid fin,-207,-186,-193,-286,-241
  └─ Other financing items,0,0,0,-341,-555
Net Cash Flow,-22,173,-19,215,-41
  └─ Free Cash Flow,-579,149,-27,260,186
  └─ CFO/OP,828%,-1765%,83%,305%,193%
