Metric,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,-59,-59,0,-21,-1,0,1,17
  └─ Profit from operations,3.12,11.99,6.26,8.19,10.48,15.56,13.89,15.52
  └─ Loans Advances,-61.53,-76.73,-23.31,-18.28,-7.55,-12.38,-9.35,-31.00
  └─ Operating borrowings,0.00,0.00,0.00,0.00,0.00,0.00,0.00,37.40
  └─ Other WC items,-0.55,6.46,18.87,-9.52,-1.53,1.04,0.17,-0.79
  └─ Working capital changes,-62.08,-70.27,-4.43,-27.80,-9.08,-11.33,-9.19,5.61
  └─ Direct taxes,-0.37,-1.22,-1.35,-1.45,-2.67,-3.94,-3.55,-4.03
Cash from Investing Activity,0,-4,-4,-0,1,-0,-0,-18
  └─ Fixed assets purchased,0.00,0.00,0.00,0.00,-0.22,0.00,0.00,0.00
  └─ Fixed assets sold,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Investments purchased,0.00,-3.84,-3.95,-0.01,0.00,-0.25,-0.37,-17.74
  └─ Investments sold,0.00,0.00,0.00,0.00,1.57,0.00,0.00,0.00
  └─ Interest received,0.07,0.02,0.00,0.00,0.00,0.00,0.00,0.00
Cash from Financing Activity,65,58,3,21,0,0,0,0
  └─ Proceeds from borrowings,67.09,67.08,3.35,21.08,0.00,0.00,0.00,0.00
  └─ Interest paid fin,-2.23,-9.34,0.00,0.00,0.00,0.00,0.00,0.00
Net Cash Flow,6,-6,-0,0,0,0,1,-1
  └─ Free Cash Flow,-59,-59,0,-21,-1,0,1,17
  └─ CFO/OP,-1849%,-485%,10%,-97%,5%,11%,14%,54%
