Metric,Jun 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,5539,3823,8995,8328,8971,13359,19618,16900,18009,22448,22261,19975
  └─ Profit from operations,8502,6735,10681,11918,14058,17477,20022,20892,23012,24355,25494,25573
  └─ Receivables,-887,-1087,-743,-1126,-1458,-1957,585,-2809,-3240,248,-119,-2248
  └─ Inventory,-41,-87,-20,117,108,24,72,207,-37,60,77,-59
  └─ Payables,0,48,56,243,377,-208,608,718,-175,-681,249,736
  └─ Loans Advances,123,0,0,0,0,0,0,0,0,0,0,0
  └─ Other WC items,-383,-377,1028,-468,-1493,581,1776,1335,2147,2678,803,49
  └─ Working capital changes,-1188,-1503,321,-1234,-2466,-1560,3041,-549,-1305,2305,1010,-1522
  └─ Direct taxes,-1774,-1409,-2007,-2356,-2621,-2558,-3445,-3443,-3698,-4212,-4243,-4076
Cash from Investing Activity,-2088,-2208,-3890,-2236,-3256,-12332,-5665,1597,-3573,-6608,-4896,-1473
  └─ Fixed assets purchased,-1208,-942,-3921,-5344,-3465,-1866,-1904,-1645,-1661,-1048,-1108,-1422
  └─ Fixed assets sold,7,194,110,23,31,37,151,90,217,32,25,23
  └─ Investments purchased,-8215,-6873,-11685,-20032,-24257,-35438,-20799,-32586,-34623,-41682,-43865,-48693
  └─ Investments sold,8155,7121,11210,18714,24777,30785,21109,33215,35635,40342,43715,49369
  └─ Interest received,830,645,854,500,511,282,676,590,636,1041,1322,1430
  └─ Dividends received,6,0,0,0,0,0,0,0,0,0,0,0
  └─ Investment in group cos,0,-14,-14,0,0,0,0,0,0,0,0,0
  └─ Redemp n Canc of Shares,0,0,0,0,0,0,0,0,0,0,687,0
  └─ Acquisition of companies,0,0,0,-144,0,0,0,0,0,0,0,0
  └─ Inter corporate deposits,0,-792,-515,-1143,1978,-1754,-1422,1633,606,526,-482,-480
  └─ Other investing items,-1662,-1548,71,5190,-2831,-4378,-3476,300,-4383,-5819,-5190,-1700
Cash from Financing Activity,-3140,-2237,-4517,-5714,-1471,-3168,-11192,-14508,-15881,-15464,-18561,-19369
  └─ Proceeds from shares,10,1,0,0,0,0,0,0,0,0,0,0
  └─ Redemption of debentures,-500,0,0,0,0,0,0,0,0,0,0,0
  └─ Proceeds from borrowings,672,745,228,19,4500,1085,4567,77,124,358,377,318
  └─ Repayment of borrowings,-473,-264,-623,-167,-886,-1331,-11336,-508,-2003,-544,-508,-2627
  └─ Interest paid fin,-24,-8,-19,-14,-71,-136,-139,-69,-80,-64,-51,-46
  └─ Dividends paid,-2385,-2251,-3386,-1691,-1099,-1357,-3256,-11391,-12995,-14073,-16250,-14618
  └─ Financial liabilities,0,0,0,0,0,0,-1016,-1067,-927,-1148,-1453,-1685
  └─ Other financing items,-441,-460,-717,-3861,-3915,-1429,-12,-1550,0,7,-676,-711
Net Cash Flow,311,-623,588,378,4244,-2141,2761,3989,-1445,376,-1196,-867
  └─ Free Cash Flow,4338,3074,5184,3007,5537,11530,17865,15345,16565,21432,21178,18576
  └─ CFO/OP,86%,79%,106%,95%,83%,92%,115%,99%,96%,110%,104%,90%
