Metric,Jun 2014,Jun 2015,Jun 2016,Jun 2017,Jun 2018,Jun 2019,Jun 2020,Jun 2021,Jun 2022,Jun 2023,Jun 2024,Jun 2025
Cash from Operating Activity,104,66,80,93,111,87,131,87,118,133,156,145
  └─ Profit from operations,136,117,135,152,168,172,166,95,144,188,200,203
  └─ Receivables,-6,-0,-2,-27,10,-24,-1,19,-4,-10,0,-12
  └─ Payables,0,0,0,11,5,7,11,-15,2,11,8,1
  └─ Loans Advances,-0,-1,-4,0,0,0,0,0,0,0,0,0
  └─ Other WC items,19,-17,-4,6,-18,-9,-3,4,3,-10,-5,3
  └─ Working capital changes,13,-18,-9,-10,-2,-26,7,9,2,-8,4,-8
  └─ Direct taxes,-45,-33,-46,-50,-54,-58,-42,-16,-27,-46,-48,-50
Cash from Investing Activity,9,-8,-6,-26,-14,-3,-61,-11,-72,14,-65,-8
  └─ Fixed assets purchased,-8,-9,-21,-10,-20,-25,-47,-19,-18,-20,-13,-19
  └─ Fixed assets sold,0,0,0,0,0,0,0,0,0,14,0,0
  └─ Investments purchased,-259,-189,-199,-239,-255,-268,-223,-115,-170,-228,-273,-304
  └─ Investments sold,263,186,212,221,260,288,225,103,145,220,270,291
  └─ Interest received,1,0,0,0,0,0,0,1,1,1,1,4
  └─ Dividends received,2,1,1,1,1,1,1,1,1,2,3,3
  └─ Other investing items,10,3,1,0,0,0,-17,17,-31,23,-54,18
Cash from Financing Activity,-114,-57,-69,-73,-94,-86,-53,-66,-64,-132,-94,-146
  └─ Interest paid fin,-0,-0,0,0,0,0,-6,-4,-3,-2,0,0
  └─ Dividends paid,-114,-56,-69,-73,-94,-86,-43,-52,-51,-119,-82,-134
  └─ Financial liabilities,0,0,0,0,0,0,-5,-10,-10,-11,-12,-12
Net Cash Flow,-1,2,5,-6,3,-3,17,9,-18,15,-4,-9
  └─ Free Cash Flow,96,58,59,82,91,62,84,68,101,128,143,126
  └─ CFO/OP,109%,86%,95%,98%,110%,85%,113%,120%,108%,97%,106%,100%
