Metric,Jun 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,50,42,68,66,83,45,269,337,271,318,432,523
  └─ Profit from operations,60,64,130,203,246,277,337,416,463,567,682,777
  └─ Receivables,-6,-2,-25,-91,-34,-231,-50,-41,-77,-149,-88,-179
  └─ Inventory,-4,-5,-3,-6,-9,-7,59,-48,-61,-75,27,-93
  └─ Payables,16,21,-0,2,-28,31,27,84,32,77,-32,69
  └─ Loans Advances,-4,-18,-10,-5,-49,14,0,0,0,0,0,0
  └─ Other WC items,0,0,0,0,0,15,-38,7,2,7,-30,93
  └─ Working capital changes,2,-5,-38,-100,-120,-177,-2,2,-104,-139,-122,-109
  └─ Direct taxes,-12,-16,-24,-36,-43,-55,-66,-82,-88,-109,-128,-144
Cash from Investing Activity,-23,-6,-36,-69,-100,-54,-30,-377,-216,-319,-333,-582
  └─ Fixed assets purchased,-25,-8,-26,-49,-65,-77,-73,-91,-193,-146,-192,-248
  └─ Fixed assets sold,0,0,1,0,0,0,0,0,0,0,0,0
  └─ Investments purchased,-0,0,-17,-28,-20,0,0,-77,-141,-122,-214,-266
  └─ Investments sold,0,0,0,0,0,10,45,0,2,2,4,6
  └─ Interest received,3,2,6,5,1,4,14,20,27,44,52,62
  └─ Dividends received,0,0,0,0,0,0,0,0,0,0,0,0
  └─ Redemp n Canc of Shares,0,0,0,0,0,9,0,0,0,0,0,0
  └─ Acquisition of companies,0,0,0,0,0,0,0,0,0,0,0,-0
  └─ Other investing items,0,0,0,2,-16,-1,-15,-229,90,-97,16,-136
Cash from Financing Activity,-9,-14,-7,-12,90,80,-24,-41,-28,-38,-38,-46
  └─ Proceeds from shares,0.00,0.00,0.01,0.01,105.01,113.00,0.00,0.03,0.02,0.01,0.01,0.00
  └─ Proceeds from borrowings,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.91,0.00,0.27,0.02
  └─ Repayment of borrowings,0.00,0.00,0.00,0.00,-0.04,-0.22,-19.41,-16.56,0.00,-3.13,0.00,0.00
  └─ Interest paid fin,-0.23,-0.11,-0.13,-0.06,-0.06,-0.27,-1.54,-0.70,-0.78,-0.78,-0.61,-0.87
  └─ Dividends paid,-7.25,-13.64,-6.37,-11.34,-15.12,-32.53,-3.03,-22.69,-30.32,-34.17,-37.99,-45.61
  └─ Other financing items,-1.19,-0.20,-0.26,-0.21,0.00,-0.22,0.00,-0.76,0.00,0.00,0.00,0.00
Net Cash Flow,19,23,25,-14,73,70,215,-81,27,-39,61,-106
  └─ Free Cash Flow,24,34,43,18,18,-32,195,246,78,173,241,275
  └─ CFO/OP,103%,92%,73%,53%,54%,38%,102%,106%,81%,77%,86%,88%
