Metric,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,,111,97,109,234,133,290
  └─ Profit from operations,,132,155,255,256,295,280
  └─ Receivables,,-14,-51,-61,-46,-109,43
  └─ Inventory,,-11,-39,-57,35,-8,-29
  └─ Payables,,26,25,-4,19,34,13
  └─ Other WC items,,-8,24,14,8,-36,20
  └─ Working capital changes,,-8,-40,-109,15,-119,47
  └─ Direct taxes,,-13,-18,-36,-38,-43,-37
Cash from Investing Activity,,-41,-195,-90,-157,-150,-141
  └─ Fixed assets purchased,,-55,-189,-100,-146,-159,-154
  └─ Fixed assets sold,,1,5,3,4,3,4
  └─ Interest received,,0,1,0,1,1,1
  └─ Other investing items,,13,-11,6,-15,6,8
Cash from Financing Activity,,-67,101,-22,-76,18,-146
  └─ Proceeds from borrowings,,26,198,116,107,182,58
  └─ Repayment of borrowings,,-48,-51,-77,-105,-82,-91
  └─ Interest paid fin,,-35,-33,-46,-53,-55,-75
  └─ Dividends paid,,-4,-7,-9,-18,-20,-27
  └─ Financial liabilities,,-6,-6,-5,-6,-7,-11
  └─ Other financing items,,0,0,-0,0,0,-0
Net Cash Flow,,3,3,-2,1,1,3
  └─ Free Cash Flow,,56,-88,13,92,-24,140
  └─ CFO/OP,,93%,74%,62%,108%,60%,112%
