Metric,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,-25,1,35
  └─ Profit from operations,19.72,29.71,33.86
  └─ Receivables,-11.91,-12.63,-11.30
  └─ Inventory,-27.66,-14.38,-9.31
  └─ Payables,11.72,6.42,30.62
  └─ Loans Advances,-14.26,-8.65,-7.01
  └─ Other WC items,-1.42,4.42,1.44
  └─ Working capital changes,-43.52,-24.81,4.44
  └─ Direct taxes,-1.60,-3.72,-2.86
Cash from Investing Activity,-68,-50,-84
  └─ Fixed assets purchased,-68,-45,-92
  └─ Fixed assets sold,0,0,4
  └─ Investments purchased,-0,-0,0
  └─ Investments sold,0,0,4
  └─ Interest received,0,0,0
  └─ Other investing items,0,-5,-0
Cash from Financing Activity,104,39,48
  └─ Proceeds from shares,64.20,0.00,16.03
  └─ Proceeds from borrowings,45.54,44.21,41.13
  └─ Interest paid fin,-2.64,-6.16,-7.79
  └─ Other financing items,-2.62,0.80,-1.67
Net Cash Flow,11,-10,-1
  └─ Free Cash Flow,-93,-44,-53
  └─ CFO/OP,-118%,16%,107%
