Metric,Dec 2005,Dec 2006,Dec 2007
Cash from Operating Activity,35,42,43
  └─ Profit from operations,57,69,87
  └─ Receivables,-1,-4,-1
  └─ Inventory,-6,0,-11
  └─ Payables,3,9,4
  └─ Loans Advances,-1,-5,-4
  └─ Working capital changes,-5,0,-12
  └─ Direct taxes,-17,-27,-32
  └─ Exceptional CF items,-0,-0,-0
Cash from Investing Activity,-3,-25,-25
  └─ Fixed assets purchased,-4,-20,-17
  └─ Fixed assets sold,5,0,0
  └─ Capital WIP,-6,0,0
  └─ Investments purchased,0,-16,-62
  └─ Investments sold,0,9,52
  └─ Investment income,0,0,1
  └─ Interest received,2,2,0
Cash from Financing Activity,-1,-52,-24
  └─ Repayment of borrowings,-0.01,-11.32,0.00
  └─ Interest paid fin,-1.33,-1.49,-0.88
  └─ Dividends paid,-0.03,-39.69,-22.86
Net Cash Flow,30,-36,-5
  └─ Free Cash Flow,30,23,26
  └─ CFO/OP,106%,107%,94%
