Metric,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Jun 2011,Jun 2012,Jun 2013,Mar 2014
Cash from Operating Activity,,15,2,37,-34,16,2,2,-7
  └─ Profit from operations,,17.56,15.77,3.27,2.04,6.81,1.95,1.95,-7.70
  └─ Receivables,,-6.70,-9.19,23.03,-20.49,-3.12,-7.87,-7.87,2.91
  └─ Inventory,,-8.30,-6.75,24.56,2.84,6.28,-2.84,-2.84,1.44
  └─ Payables,,15.99,5.46,-11.92,-18.54,6.63,12.74,12.74,-3.66
  └─ Operating borrowings,,6.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Other WC items,,-0.22,-3.25,-1.92,-0.15,-0.41,-1.35,-1.35,0.01
  └─ Working capital changes,,7.15,-13.73,33.75,-36.34,9.38,0.68,0.68,0.70
  └─ Interest paid,,-7.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Direct taxes,,-1.26,-1.33,0.22,-0.06,0.00,-0.76,-0.76,0.00
  └─ Other operating items,,-1.40,1.69,0.06,0.00,0.00,0.00,0.00,0.00
  └─ Exceptional CF items,,-0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Cash from Investing Activity,,-35,-28,-43,10,-8,11,11,5
  └─ Fixed assets purchased,,-34.78,-32.15,-45.67,-0.98,-11.99,-5.85,-8.17,-6.07
  └─ Fixed assets sold,,2.64,3.70,2.89,10.76,3.75,17.11,17.11,9.24
  └─ Investments purchased,,-0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Investments sold,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.78
  └─ Interest received,,0.04,0.00,0.06,0.05,0.00,0.33,0.32,0.02
  └─ Dividends received,,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00
  └─ Other investing items,,-2.72,0.00,0.00,0.00,0.00,-0.97,1.36,0.54
Cash from Financing Activity,,20,27,4,26,-8,-12,-12,2
  └─ Proceeds from shares,,15.18,0.93,0.65,0.85,3.50,18.81,18.81,0.00
  └─ Proceeds from borrowings,,9.80,35.18,20.12,42.70,3.54,7.50,7.50,7.47
  └─ Repayment of borrowings,,-0.01,0.00,0.00,-9.74,-6.42,0.00,0.00,0.00
  └─ Interest paid fin,,0.00,-8.08,-16.75,-8.02,-8.70,-12.69,-12.69,-2.62
  └─ Dividends paid,,0.00,-1.41,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Other financing items,,-4.81,0.00,0.00,0.00,0.00,-26.02,-26.02,-3.21
Net Cash Flow,,-0,1,-1,1,-0,0,0,-1
  └─ Free Cash Flow,,-18,-26,-5,-25,8,13,11,-4
  └─ CFO/OP,,104%,29%,1663%,430%,307%,123%,-23%,673%
