Metric,Mar 2023,Mar 2024,Mar 2025,Mar 2026,Mar 2021,Mar 2022,Nov 2023
Cash from Operating Activity,,-7,-7,16,,,
  └─ Profit from operations,15.20,26.01,30.25,35.85,3.81,8.30,14.32
  └─ Receivables,-10.80,11.26,-19.59,-14.04,0.87,-6.67,10.29
  └─ Inventory,-20.04,5.98,-11.65,0.00,-2.03,-12.32,2.96
  └─ Payables,15.79,-40.66,17.27,-0.95,0.05,12.22,-31.21
  └─ Other WC items,1.14,-6.04,-17.43,0.00,0.35,-1.06,-3.15
  └─ Working capital changes,-13.91,-29.46,-31.40,-14.98,-0.76,-7.83,-21.11
  └─ Direct taxes,-1.53,-4.02,-5.45,-4.94,-0.31,-0.05,-1.70
Cash from Investing Activity,,-8,-41,-23,,,
  └─ Fixed assets purchased,-10.22,-8.91,-40.49,-23.72,-2.28,-11.05,-8.25
  └─ Fixed assets sold,0.07,0.09,0.00,0.00,0.00,0.01,0.00
  └─ Investments purchased,-0.85,-0.57,-0.56,-0.15,-0.05,-0.69,-0.50
  └─ Investments sold,0.00,0.11,0.00,0.00,0.00,0.00,0.13
  └─ Investment income,0.00,0.00,0.00,0.35,0.00,0.00,0.00
  └─ Interest received,0.00,0.18,0.24,0.22,0.00,0.00,0.00
  └─ Other investing items,0.00,0.63,0.00,0.00,0.00,0.00,1.44
Cash from Financing Activity,,42,31,-3,,,
  └─ Proceeds from shares,7.27,45.43,0.00,11.99,0.00,0.72,2.94
  └─ Proceeds from borrowings,9.41,17.25,27.68,0.00,2.14,12.67,32.92
  └─ Repayment of borrowings,0.00,0.00,-3.90,-4.92,0.00,0.00,0.00
  └─ Interest paid fin,-5.16,-4.05,-2.84,-5.66,-1.88,-2.50,-2.03
  └─ Application money refund,0.00,0.00,3.01,3.01,0.00,0.00,0.00
  └─ Other financing items,0.00,-16.66,7.38,-7.22,-0.16,0.00,-17.35
Net Cash Flow,,26,-16,-10,,,
  └─ Free Cash Flow,,-16,-47,-8,,,
  └─ CFO/OP,,-13%,-4%,67%,,,
