Metric,Mar 2024,Mar 2025
Cash from Operating Activity,-76.63,-8.26
  └─ Profit from operations,-1.23,0.29
  └─ Receivables,-1.02,-6.68
  └─ Inventory,5.91,0.02
  └─ Payables,-2.18,0.43
  └─ Other WC items,-77.86,-2.06
  └─ Working capital changes,-75.16,-8.29
  └─ Direct taxes,-0.24,-0.27
Cash from Investing Activity,75.71,9.16
  └─ Interest received,3.22,1.34
  └─ Other investing items,72.49,7.82
Cash from Financing Activity,-0.11,-0.87
  └─ Proceeds from borrowings,0.93,0.00
  └─ Repayment of borrowings,0.00,-0.29
  └─ Interest paid fin,-1.03,-0.57
Net Cash Flow,-1.02,0.03
  └─ Free Cash Flow,-76.63,-8.26
  └─ CFO/OP,6211%,-3995%
