Metric,Jun 2012,Jun 2013,Jun 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,-44.00,-13.17,-1.92,-39.04,0.10,-2.35,2.21,0.43,18.42,-0.10,-5.93,-5.75
  └─ Profit from operations,25.98,29.02,24.87,13.48,-0.28,-1.79,-0.01,-4.52,6.28,-0.23,0.10,-1.27
  └─ Receivables,6.82,-1.51,-27.89,-7.97,0.20,0.00,0.00,0.00,0.00,-0.76,0.76,0.00
  └─ Inventory,-31.64,-18.97,41.41,47.36,0.00,0.00,0.00,0.00,5.98,3.27,0.00,0.00
  └─ Payables,-16.20,-10.85,-34.60,-23.56,0.52,0.00,0.00,-0.03,-0.83,0.00,0.46,3.94
  └─ Loans Advances,0.98,15.62,25.59,-53.18,-1.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Operating borrowings,0.00,0.00,-13.96,27.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Other WC items,-22.30,-22.12,-17.05,-40.91,1.41,-0.29,2.58,4.48,6.58,-1.84,-6.59,-8.43
  └─ Working capital changes,-62.34,-37.83,-26.50,-50.99,0.36,-0.29,2.58,4.45,11.72,0.67,-5.37,-4.49
  └─ Direct taxes,-7.64,-4.36,-0.29,-1.53,0.01,-0.27,-0.36,0.50,0.41,-0.54,-0.66,0.00
Cash from Investing Activity,11.29,0.55,-0.73,0.13,0.01,0.00,0.30,0.00,0.00,0.00,-0.65,0.66
  └─ Fixed assets purchased,-3.61,0.00,0.00,0.77,0.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.00
  └─ Fixed assets sold,3.85,0.01,-0.75,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Investments purchased,0.00,0.00,0.00,-0.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Investments sold,9.64,0.10,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.64
  └─ Interest received,1.50,0.44,0.02,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Redemp n Canc of Shares,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02
  └─ Acquisition of companies,-0.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Other investing items,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.64,0.00
Cash from Financing Activity,22.08,13.61,7.05,34.53,-0.23,2.20,-2.35,-0.45,-18.44,0.09,6.76,4.98
  └─ Proceeds from borrowings,36.64,27.63,19.23,46.37,0.07,0.00,0.00,1.90,2.77,0.21,7.00,5.18
  └─ Repayment of borrowings,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-2.17,-2.97,0.00,0.00,0.00
  └─ Interest paid fin,-14.56,-14.02,-12.18,-11.83,-0.30,-1.87,-2.02,-1.89,-0.05,-0.10,-0.17,-0.06
  └─ Other financing items,0.00,0.00,0.00,0.00,0.00,4.07,-0.34,1.71,-18.20,-0.02,-0.07,-0.14
Net Cash Flow,-10.63,0.99,4.40,-4.38,-0.12,-0.15,0.15,-0.02,-0.02,-0.01,0.18,-0.11
  └─ Free Cash Flow,-43.76,-13.16,-2.67,-38.27,0.11,-2.35,2.21,0.43,18.42,-0.10,-5.94,-5.75
  └─ CFO/OP,-141%,-132%,-6%,-311%,-22%,176%,408%,7%,-712%,52%,255%,436%
