Metric,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020
Cash from Operating Activity,-2.87,10.45,-2.10,-1.14,23.30,25.50,23.13,1.96,4.72,7.73,
  └─ Profit from operations,21.55,21.51,19.94,22.44,14.46,-14.30,-1.18,7.71,11.40,14.94,
  └─ Receivables,-23.85,8.65,-29.02,-16.56,31.80,27.88,-5.18,-8.63,9.93,-0.93,
  └─ Inventory,3.71,-24.89,0.03,-0.93,-6.30,-3.06,22.42,12.34,-11.98,0.21,
  └─ Payables,0.40,3.74,15.69,5.64,-17.19,-4.91,-0.07,4.63,5.17,-9.42,
  └─ Loans Advances,-3.61,2.24,-7.75,-11.48,0.84,13.02,2.01,0.08,0.12,-0.04,
  └─ Other WC items,0.00,0.00,1.16,0.95,0.69,6.77,5.20,-14.11,-9.88,3.03,
  └─ Working capital changes,-23.35,-10.26,-19.89,-22.38,9.84,39.70,24.38,-5.70,-6.63,-7.15,
  └─ Direct taxes,-1.07,-0.80,-2.15,-1.20,-1.00,0.11,-0.08,-0.05,-0.05,-0.06,
Cash from Investing Activity,-11.72,-10.13,-8.40,-3.12,-2.53,18.48,9.37,0.85,4.56,-4.32,
  └─ Fixed assets purchased,-16.51,-14.80,-8.45,-3.77,-2.80,-0.77,-0.22,-1.84,-0.99,-6.29,
  └─ Fixed assets sold,0.51,0.02,0.05,0.65,0.27,11.73,9.52,0.00,0.14,0.08,
  └─ Capital WIP,8.21,4.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
  └─ Investments purchased,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.04,
  └─ Investments sold,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,
  └─ Interest received,0.09,0.00,0.00,0.00,0.00,7.51,0.12,1.68,0.64,0.62,
  └─ Dividends received,-4.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
  └─ Invest in subsidiaries,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-13.70,0.00,0.00,
  └─ Other investing items,0.00,0.00,0.00,0.00,0.00,0.00,-0.06,14.71,4.77,1.31,
Cash from Financing Activity,17.03,-0.93,11.39,3.75,-21.65,-44.21,-32.25,-4.11,-9.34,-3.39,
  └─ Proceeds from shares,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26.00,7.93,1.30,
  └─ Proceeds from borrowings,24.51,7.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
  └─ Repayment of borrowings,0.00,0.00,0.00,0.00,0.00,-24.28,0.00,0.00,0.00,0.00,
  └─ Interest paid fin,-6.56,-6.40,-8.60,-19.42,-20.08,-19.68,-13.75,-11.94,-8.89,-7.40,
  └─ Dividends paid,-0.84,-1.68,-1.68,-1.50,-3.80,-0.25,0.00,0.00,0.00,0.00,
  └─ Other financing items,-0.08,0.00,21.67,24.67,2.23,0.00,-18.50,-18.18,-8.38,2.71,
Net Cash Flow,2.44,-0.61,0.89,-0.51,-0.88,-0.22,0.24,-1.30,-0.06,0.02,
  └─ Free Cash Flow,-10.66,0.32,-10.50,-4.26,20.77,36.46,32.43,0.12,3.87,1.52,
  └─ CFO/OP,-10%,53%,0%,0%,139%,2247%,184%,12%,39%,53%,
