Metric,Mar 2026
  └─ Profit from operations,-0.85
  └─ Payables,0.68
  └─ Other WC items,0.17
  └─ Working capital changes,0.84
  └─ Fixed assets purchased,-9583
  └─ Interest received,3
  └─ Proceeds from borrowings,3733
  └─ Other financing items,6000
