Metric,Jun 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,4.36,4.33,-15.67,6.01,4.16,0.94,2.85,-0.48,2.85,-2.29,0.99,-1.01
  └─ Profit from operations,2.27,2.03,0.14,1.53,1.84,1.18,1.11,1.23,1.38,1.52,4.40,10.98
  └─ Receivables,-1.23,-2.02,4.60,-0.33,0.57,0.86,0.59,0.17,-0.16,0.19,-0.57,-3.61
  └─ Inventory,0.00,0.09,0.00,0.00,0.00,-0.30,0.27,0.00,0.01,-1.85,-3.74,-4.74
  └─ Payables,11.07,-3.23,-0.47,-0.67,0.33,0.15,0.47,-0.61,0.46,-0.58,0.74,-0.67
  └─ Loans Advances,-2.76,4.93,1.97,4.58,-0.06,0.01,-0.01,-0.02,-0.02,-0.24,-0.06,0.44
  └─ Other WC items,0.19,0.07,-22.19,0.97,1.39,-0.93,0.23,-1.03,1.19,-1.14,1.32,-1.87
  └─ Working capital changes,7.28,-0.16,-16.09,4.55,2.23,-0.22,1.55,-1.49,1.48,-3.63,-2.31,-10.45
  └─ Direct taxes,1.41,2.56,0.36,-0.08,0.00,-0.02,0.00,-0.22,-0.02,-0.18,-1.11,-1.55
  └─ Other operating items,0.00,0.00,0.00,0.00,0.09,0.00,0.19,0.00,0.00,0.00,0.00,0.00
  └─ Exceptional CF items,-6.60,-0.09,-0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Cash from Investing Activity,2.26,3.96,0.76,1.18,0.07,0.38,-0.68,0.27,-0.92,0.17,0.18,-3.01
  └─ Fixed assets purchased,0.00,-0.02,-0.04,-0.18,-0.02,-0.03,-0.53,-0.31,-0.27,-0.04,-0.36,-0.41
  └─ Fixed assets sold,0.71,4.28,0.71,0.00,0.00,0.00,0.00,0.07,0.00,0.00,0.00,0.00
  └─ Investments purchased,0.00,-1.07,-1.45,0.00,-0.05,0.00,-0.31,0.00,-0.76,0.00,0.00,-2.72
  └─ Investments sold,0.00,0.00,0.54,1.15,0.01,0.28,0.03,0.44,0.00,0.10,0.42,0.00
  └─ Investment income,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.12
  └─ Interest received,0.00,0.00,1.00,0.22,0.13,0.13,0.13,0.07,0.11,0.11,0.12,0.00
  └─ Dividends received,1.55,0.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Cash from Financing Activity,-4.18,-5.72,2.99,-8.08,-4.46,0.07,-1.28,0.94,-2.76,1.25,1.40,1.41
  └─ Proceeds from borrowings,0.00,0.00,5.93,0.00,2.95,1.41,0.00,1.59,0.00,2.05,2.46,3.21
  └─ Repayment of borrowings,-1.08,-3.91,-1.64,-6.93,-6.26,-0.48,-0.55,0.00,-2.10,0.00,-0.47,-1.28
  └─ Interest paid fin,-3.10,-1.80,-1.30,-1.14,-1.15,-0.86,-0.73,-0.65,-0.66,-0.80,-0.59,-0.52
Net Cash Flow,2.44,2.57,-11.91,-0.89,-0.22,1.39,0.88,0.73,-0.83,-0.87,2.57,-2.62
  └─ Free Cash Flow,5.07,8.59,-15.00,5.83,4.14,0.91,2.32,-0.72,2.58,-2.33,0.63,-1.42
  └─ CFO/OP,78%,64%,-2628%,350%,208%,74%,248%,-20%,191%,-129%,44%,5%
