Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,443,533,421,450,-46,225,444,-279,452,806,480,1147
  └─ Profit from operations,367,304,328,257,407,421,450,717,838,1229,1080,338
  └─ Receivables,37,166,175,-47,0,6,74,-171,-100,-206,-108,548
  └─ Inventory,70,97,-37,20,0,-142,-80,-1011,-48,-4,-164,206
  └─ Payables,-100,0,-43,206,-437,-54,27,328,-127,40,-98,67
  └─ Loans Advances,82,0,0,0,0,0,19,-26,18,-20,-8,50
  └─ Other WC items,0,-22,27,27,0,3,0,0,0,0,0,0
  └─ Working capital changes,89,240,122,205,-437,-188,41,-880,-257,-190,-379,872
  └─ Direct taxes,-13,-11,-29,-12,-17,-9,-46,-116,-128,-233,-220,-63
Cash from Investing Activity,-216,71,72,-69,33,-20,129,-329,168,-37,-138,-136
  └─ Fixed assets purchased,-139,0,-32,-31,-58,-59,-132,-195,-188,-244,-278,-130
  └─ Fixed assets sold,43,-38,139,1,1,0,1,16,4,4,4,24
  └─ Investments purchased,-376,0,0,0,0,0,0,-1884,-3589,-4340,-3856,-3971
  └─ Investments sold,0,-19,4,0,0,1,30,1693,3858,4305,3918,3551
  └─ Subsidy received,0,0,2,0,0,0,0,0,0,0,0,0
  └─ Interest received,19,10,13,15,16,12,34,33,44,42,28,99
  └─ Dividends received,0,0,10,12,12,12,14,0,0,0,0,0
  └─ Investment in group cos,222,0,0,0,0,0,0,0,0,0,0,0
  └─ Redemp n Canc of Shares,0,0,0,0,0,0,0,0,0,0,0,0
  └─ Inter corporate deposits,0,0,0,0,0,0,18,0,0,0,0,0
  └─ Other investing items,14,118,-64,-66,62,14,165,8,39,197,46,291
Cash from Financing Activity,-236,-592,-332,-574,-5,-220,-419,609,-604,-720,-454,-900
  └─ Proceeds from shares,25,0,0,0,140,50,0,0,0,0,0,0
  └─ Proceeds from debentures,0,-310,56,0,0,0,0,0,0,0,0,0
  └─ Redemption of debentures,-89,0,0,-174,0,0,0,0,0,0,0,0
  └─ Proceeds from borrowings,57,0,0,0,809,66,275,1191,138,322,0,168
  └─ Repayment of borrowings,0,-25,-145,-167,-744,-121,-470,-368,-456,-812,-228,-830
  └─ Interest paid fin,-202,-229,-221,-209,-195,-215,-211,-186,-256,-210,-164,-136
  └─ Dividends paid,-22,-22,-17,-20,-12,0,-13,-27,-48,-84,-56,-87
  └─ Financial liabilities,0,0,0,0,0,0,0,0,-7,-10,-5,-14
  └─ Other financing items,-4,-6,-4,-4,-3,0,0,-0,24,75,-1,-0
Net Cash Flow,-8,12,162,-193,-18,-16,154,1,17,49,-112,110
  └─ Free Cash Flow,348,495,529,421,-103,166,312,-458,268,565,206,1041
  └─ CFO/OP,147%,186%,156%,180%,-7%,60%,112%,-24%,78%,86%,67%,337%
