Metric,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,10,-7,-9,-9,-18
  └─ Profit from operations,7.00,11.84,16.35,20.59,12.14
  └─ Receivables,4.10,-10.60,0.34,-14.59,-8.47
  └─ Inventory,-1.59,-5.50,-17.15,-12.13,-17.20
  └─ Payables,3.25,-0.50,-4.13,-4.15,19.70
  └─ Loans Advances,-0.90,-0.64,-2.41,-0.38,-11.85
  └─ Other WC items,0.00,0.75,1.39,6.31,-10.87
  └─ Working capital changes,4.86,-16.50,-21.95,-24.93,-28.69
  └─ Direct taxes,-1.45,-2.48,-3.43,-4.80,-1.20
Cash from Investing Activity,-5,-3,-1,-1,-27
  └─ Fixed assets purchased,-1.72,-4.00,-4.12,-7.12,-25.51
  └─ Fixed assets sold,0.00,0.29,0.00,0.96,0.04
  └─ Investments purchased,-2.28,-1.80,0.00,0.00,0.00
  └─ Investments sold,0.00,2.27,3.98,0.00,0.00
  └─ Interest received,0.08,0.36,0.22,0.61,0.61
  └─ Other investing items,-1.07,0.00,-1.40,4.77,-2.21
Cash from Financing Activity,-0,5,19,6,40
  └─ Proceeds from shares,0.00,0.00,36.00,0.00,10.00
  └─ Proceeds from borrowings,0.91,11.73,0.00,7.67,34.72
  └─ Repayment of borrowings,-0.44,0.00,-10.63,0.00,0.00
  └─ Interest paid fin,-0.46,-0.73,-1.96,-1.16,-4.36
  └─ Other financing items,-0.06,-6.28,-4.79,-0.02,0.00
Net Cash Flow,5,-5,8,-3,-4
  └─ Free Cash Flow,9,-11,-13,-15,-43
  └─ CFO/OP,172%,-44%,-39%,-25%,-145%
