Metric,Mar 2025
  └─ Profit from operations,1.59
  └─ Receivables,-0.84
  └─ Inventory,-6.51
  └─ Payables,-7.28
  └─ Loans Advances,-0.26
  └─ Other WC items,0.03
  └─ Working capital changes,-14.87
  └─ Direct taxes,-0.64
  └─ Interest received,0.01
  └─ Other investing items,0.03
  └─ Proceeds from shares,19
  └─ Proceeds from borrowings,119
  └─ Repayment of borrowings,-123
  └─ Interest paid fin,-1
