Metric,Mar 2026
Cash from Operating Activity,1.57
  └─ Profit from operations,6.13
  └─ Receivables,-0.81
  └─ Inventory,0.44
  └─ Payables,-0.03
  └─ Loans Advances,-2.97
  └─ Other WC items,0.26
  └─ Working capital changes,-3.11
  └─ Direct taxes,-1.45
Cash from Investing Activity,-11.92
  └─ Fixed assets purchased,-4.36
  └─ Fixed assets sold,0.04
  └─ Investments purchased,-8.24
  └─ Investment income,0.65
Cash from Financing Activity,7.47
  └─ Proceeds from shares,5.09
  └─ Proceeds from borrowings,2.45
  └─ Interest paid fin,-0.07
Net Cash Flow,-2.87
  └─ Free Cash Flow,-2.75
  └─ CFO/OP,56%
