Metric,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,0,63,31,47,11,38,6,57,24
  └─ Profit from operations,0,49,53,45,65,52,47,72,74
  └─ Receivables,0,37,8,-3,-25,-8,-4,-8,-32
  └─ Inventory,0,11,-15,-17,-9,-22,-24,-17,-23
  └─ Payables,0,2,-22,2,8,17,8,23,7
  └─ Loans Advances,0,-5,-2,4,0,1,-0,-3,3
  └─ Other WC items,0,-25,13,19,-21,2,-17,-3,5
  └─ Working capital changes,0,20,-18,5,-46,-10,-38,-9,-41
  └─ Direct taxes,0,-6,-4,-3,-7,-4,-4,-6,-9
Cash from Investing Activity,0,-49,-20,-6,-37,-31,-43,-26,-10
  └─ Fixed assets purchased,0.00,-50.32,-19.95,-7.29,-37.77,-13.45,-44.93,-29.25,-44.06
  └─ Fixed assets sold,0.00,1.11,0.30,0.76,0.14,4.45,0.89,0.14,2.62
  └─ Capital WIP,0.00,0.00,0.00,0.00,0.00,-22.01,0.00,-1.64,29.41
  └─ Investments purchased,0.00,0.00,0.00,0.00,0.00,-1.81,-0.22,-3.61,-0.18
  └─ Investments sold,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.64,0.35
  └─ Interest received,0.00,0.00,0.00,0.47,0.52,0.00,1.44,1.36,0.67
  └─ Redemp n Canc of Shares,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00
  └─ Other investing items,0.00,0.00,0.00,0.00,0.00,2.15,0.25,0.29,0.87
Cash from Financing Activity,0,-10,-13,-28,15,-7,23,-11,-28
  └─ Proceeds from borrowings,0.00,14.57,10.05,5.28,36.88,17.10,42.83,20.99,41.96
  └─ Repayment of borrowings,0.00,-5.48,0.00,-12.71,0.00,0.00,0.00,0.00,-35.54
  └─ Interest paid fin,0.00,-18.34,-21.37,-18.91,-18.34,-22.19,-19.03,-32.49,-34.82
  └─ Dividends paid,0.00,-0.74,-1.78,0.00,-1.48,-1.48,0.00,0.00,0.00
  └─ Financial liabilities,0.00,0.00,0.00,-2.13,-1.66,-0.89,-1.17,0.00,0.00
  └─ Other financing items,0.00,-0.15,-0.37,0.00,-0.08,0.00,0.00,0.89,0.00
Net Cash Flow,0,4,-2,13,-11,0,-14,21,-15
  └─ Free Cash Flow,0,14,12,41,-27,7,-38,26,12
  └─ CFO/OP,0%,149%,68%,115%,35%,84%,18%,91%,47%
