Metric,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Cash from Operating Activity,20,-24,8,40,-37,12,16,24,4
  └─ Profit from operations,29,38,40,52,31,24,44,49,56
  └─ Receivables,-20,-43,1,-4,-58,-5,-16,-11,7
  └─ Inventory,16,16,-50,-25,-3,23,-47,1,-87
  └─ Payables,10,13,34,21,-24,-23,26,1,43
  └─ Loans Advances,1,-11,-29,-0,16,-1,-0,-0,-2
  └─ Other WC items,-10,-26,21,8,7,-4,24,-8,-3
  └─ Working capital changes,-4,-51,-23,-1,-63,-9,-14,-17,-42
  └─ Direct taxes,-5,-12,-10,-11,-5,-3,-15,-8,-10
Cash from Investing Activity,2,-4,-34,-37,3,-2,5,-31,-44
  └─ Fixed assets purchased,-3,-7,-10,-18,-26,-1,-18,-7,-58
  └─ Fixed assets sold,3,0,1,0,1,0,11,0,0
  └─ Capital WIP,0,0,0,-13,22,0,-9,-19,21
  └─ Interest received,1,1,1,2,2,3,2,2,2
  └─ Investment in group cos,0,0,0,0,-0,0,0,0,0
  └─ Redemp n Canc of Shares,0,0,0,0,0,0,0,0,0
  └─ Other investing items,-0,2,-26,-9,4,-3,19,-7,-9
Cash from Financing Activity,-23,25,24,0,30,15,-41,13,37
  └─ Proceeds from shares,0,21,0,0,0,0,0,0,0
  └─ Proceeds from borrowings,0,15,33,17,42,43,0,30,70
  └─ Repayment of borrowings,-15,0,0,0,0,-13,-26,-3,-14
  └─ Interest paid fin,-8,-4,-6,-11,-12,-12,-14,-15,-19
  └─ Dividends paid,0,-6,-3,-6,0,-3,0,0,0
Net Cash Flow,-1,-2,-2,4,-3,25,-19,6,-3
  └─ Free Cash Flow,20,-30,-1,10,-40,10,-0,-2,-33
  └─ CFO/OP,86%,-32%,43%,76%,-102%,59%,57%,66%,27%
