Metric,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,10,-7,-24,50,-6,10,-2,21,79,118,-1
  └─ Profit from operations,15,28,19,26,1,10,25,28,66,61,73
  └─ Receivables,-9,-18,-43,27,4,1,-26,11,-50,48,-34
  └─ Inventory,2,-12,-2,4,-8,5,-1,-42,-8,-66,50
  └─ Payables,4,1,10,-1,-2,-6,1,21,72,86,-75
  └─ Loans Advances,-3,0,0,0,0,0,0,0,0,0,0
  └─ Other WC items,7,0,0,0,0,0,0,0,0,0,0
  └─ Working capital changes,1,-29,-36,30,-6,0,-26,-9,14,68,-58
  └─ Direct taxes,-3,-5,-7,-6,-2,-0,-1,2,-1,-11,-16
  └─ Other operating items,-3,0,0,0,0,0,0,0,0,0,0
Cash from Investing Activity,-4,-9,-46,-26,-14,-4,-11,-16,-25,-11,-27
  └─ Fixed assets purchased,-5.15,-11.37,-15.76,-37.91,-29.45,-12.96,-14.43,-14.30,-23.39,-13.42,-27.83
  └─ Fixed assets sold,1.15,2.72,0.19,0.02,0.16,0.03,1.93,0.00,0.01,0.00,0.11
  └─ Interest received,0.26,0.25,0.83,2.69,1.77,0.92,1.14,1.35,0.47,1.46,2.36
  └─ Investment in group cos,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.02,0.00,0.00,-0.04
  └─ Other investing items,-0.38,-0.91,-30.99,8.99,13.19,8.03,0.52,-2.70,-2.38,0.78,-1.25
Cash from Financing Activity,-3,14,71,-24,20,-7,13,-6,-34,-34,-14
  └─ Proceeds from shares,0.00,0.00,6.64,3.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Proceeds from borrowings,3.65,15.91,7.98,0.00,32.78,6.72,25.08,7.82,14.71,0.00,8.76
  └─ Repayment of borrowings,0.00,0.00,0.00,-18.67,-2.60,-6.38,-5.14,-2.79,-36.19,-20.81,-17.08
  └─ Interest paid fin,-2.18,-2.31,-3.67,-5.51,-6.36,-7.39,-7.35,-9.00,-10.53,-10.86,-3.38
  └─ Dividends paid,-4.18,-0.09,-3.84,-3.21,-3.50,0.00,0.00,-1.61,-1.83,-2.69,-2.69
  └─ Other financing items,0.00,0.00,63.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Net Cash Flow,3,-3,1,0,-0,-1,-0,-0,20,73,-42
  └─ Free Cash Flow,6,-15,-39,12,-36,-3,-15,7,56,105,-29
  └─ CFO/OP,77%,-5%,-86%,240%,84%,159%,-7%,73%,136%,223%,39%
