Metric,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,-10,-31,51,-20
  └─ Profit from operations,16,24,19,72
  └─ Receivables,0,-1,-1,-14
  └─ Inventory,-26,-28,26,-86
  └─ Payables,-10,20,-5,9
  └─ Loans Advances,-2,-20,-16,5
  └─ Other WC items,12,-23,30,1
  └─ Working capital changes,-26,-53,34,-85
  └─ Direct taxes,-0,-2,-1,-7
Cash from Investing Activity,-12,-8,-13,-462
  └─ Fixed assets purchased,-8,-11,-23,-388
  └─ Investments purchased,-5,0,0,0
  └─ Investments sold,0,2,4,0
  └─ Interest received,0,2,6,6
  └─ Dividends received,0,0,0,0
  └─ Other investing items,0,0,0,-79
Cash from Financing Activity,22,102,-51,495
  └─ Proceeds from shares,0,5,0,0
  └─ Proceeds from borrowings,32,58,26,511
  └─ Repayment of borrowings,0,-2,-68,0
  └─ Interest paid fin,-9,-12,-10,-16
  └─ Other financing items,0,53,0,-0
Net Cash Flow,0,64,-13,13
  └─ Free Cash Flow,-17,-42,28,-408
  └─ CFO/OP,-57%,-122%,290%,-24%
