Metric,Jun 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,-7,-207,-55,-780,-1377,-178,-40,3331,-4091,120,2532,-1814
  └─ Profit from operations,90,70,56,96,-326,-37,54,83,54,268,777,624
  └─ Receivables,-27,-77,37,-93,23,23,28,-7,-2,-12,-29,5
  └─ Inventory,-1,-22,10,-16,0,0,0,0,0,0,0,0
  └─ Payables,4,52,-17,20,23,43,-3,32,8,23,-21,17
  └─ Loans Advances,-55,0,0,0,-1016,-70,-182,-805,-2916,-4011,-3238,0
  └─ Operating investments,0,0,0,0,12,-5,25,57,-67,0,0,0
  └─ Operating Deposits,0,0,0,0,0,0,0,3838,-1118,3809,5502,16
  └─ Other WC items,0,-199,-94,-749,-18,-76,36,149,-49,53,-427,-2432
  └─ Working capital changes,-79,-247,-64,-839,-977,-86,-97,3264,-4143,-138,1788,-2395
  └─ Direct taxes,-18,-30,-46,-37,-75,-55,0,-16,-2,-10,-32,-43
  └─ Other operating items,0,0,0,0,0,0,3,0,0,0,0,0
Cash from Investing Activity,21,-98,16,-60,792,133,-56,158,157,-1552,-1704,1458
  └─ Fixed assets purchased,-16,-12,-13,-38,-23,-7,-5,-48,-22,-102,-288,-179
  └─ Fixed assets sold,0,0,10,2,0,2,1,0,0,0,0,0
  └─ Capital WIP,0,0,0,0,0,0,0,0,-3,-0,-126,-52
  └─ Investments purchased,-26,-111,-66,-88,-74,-24,-28,-282,0,-1465,-1296,0
  └─ Investments sold,2,21,156,70,0,105,1,0,362,0,0,1667
  └─ Investment income,0,0,0,3,0,0,0,0,0,0,0,0
  └─ Interest received,21,17,6,2,3,11,9,50,12,10,41,4
  └─ Dividends received,0,0,0,0,0,0,0,0,0,0,0,0
  └─ Invest in subsidiaries,-0,-0,0,0,0,0,0,0,0,0,0,0
  └─ Redemp n Canc of Shares,0,0,0,0,984,2,0,0,0,0,0,0
  └─ Acquisition of companies,0,0,0,0,-99,0,0,0,0,0,0,0
  └─ Other investing items,39,-14,-78,-11,-0,44,-34,438,-192,5,-36,19
Cash from Financing Activity,66,282,86,881,503,63,137,737,97,1503,-590,436
  └─ Proceeds from shares,56,126,0,0,0,187,0,746,0,0,5,231
  └─ Proceeds from debentures,0,0,0,0,275,197,684,378,0,245,86,0
  └─ Redemption of debentures,0,0,0,0,0,0,0,0,-287,0,0,0
  └─ Proceeds from borrowings,1415,240,279,875,258,0,0,0,457,1356,0,493
  └─ Repayment of borrowings,-1370,-51,-146,-15,0,-282,-444,-254,0,0,-309,0
  └─ Interest paid fin,-35,-34,-48,-7,-17,-25,-90,-128,-58,-80,-292,-267
  └─ Dividends paid,0,0,0,-5,0,-3,0,0,0,0,0,0
  └─ Financial liabilities,0,0,0,0,-13,-12,-12,-4,-15,-15,-81,-52
  └─ Other financing items,0,0,0,32,0,0,0,0,0,-2,0,31
Net Cash Flow,79,-23,47,41,-82,18,40,4226,-3837,71,238,80
  └─ Free Cash Flow,-23,-218,-58,-816,-1400,-183,-45,3283,-4115,18,2119,-2045
  └─ CFO/OP,9%,-235%,-7%,-585%,-225%,-65%,-18%,2119%,-880%,13%,193%,-161%
