Metric,Mar 2021,Mar 2022
  └─ Profit from operations,63,62
  └─ Receivables,-40,32
  └─ Inventory,-31,-30
  └─ Payables,18,-28
  └─ Working capital changes,-52,-26
  └─ Direct taxes,-4,-2
  └─ Fixed assets purchased,-15.29,-8.77
  └─ Fixed assets sold,1.80,0.00
  └─ Interest received,1.61,1.40
  └─ Other investing items,-0.66,-1.31
  └─ Proceeds from borrowings,56.32,13.01
  └─ Repayment of borrowings,-5.52,-0.58
  └─ Interest paid fin,-46.24,-42.80
  └─ Dividends paid,-1.84,-1.84
  └─ Financial liabilities,-0.01,-0.01
  └─ Other financing items,0.01,0.01
