Metric,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024
Cash from Operating Activity,24,37,59,88,61
  └─ Profit from operations,31,58,87,104,92
  └─ Receivables,0,-21,-9,-7,-11
  └─ Inventory,2,2,-3,-5,-2
  └─ Payables,-0,4,-2,2,-6
  └─ Loans Advances,-0,-0,-0,-0,0
  └─ Other WC items,-2,1,3,7,3
  └─ Working capital changes,-1,-13,-11,-4,-15
  └─ Direct taxes,-6,-7,-17,-13,-15
Cash from Investing Activity,-21,-32,-38,-57,-76
  └─ Fixed assets purchased,-16,-33,-39,-50,-77
  └─ Fixed assets sold,1,0,0,0,2
  └─ Interest received,1,0,1,1,2
  └─ Invest in subsidiaries,-6,0,0,0,0
  └─ Other investing items,-0,1,-0,-9,-3
Cash from Financing Activity,-1,-5,-17,-11,-2
  └─ Proceeds from shares,0.00,0.00,0.00,0.00,0.01
  └─ Proceeds from borrowings,28.55,16.30,4.96,0.00,9.17
  └─ Repayment of borrowings,-21.57,-19.15,-16.38,-5.68,-5.17
  └─ Interest paid fin,-2.32,-1.73,-0.78,-0.89,-1.48
  └─ Dividends paid,-5.33,0.00,-4.42,-4.42,-4.43
Net Cash Flow,3,1,5,20,-17
  └─ Free Cash Flow,9,4,20,38,-14
  └─ CFO/OP,102%,84%,94%,106%,88%
