Metric,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,-24,273,341,395,350
  └─ Profit from operations,290,352,430,482,510
  └─ Receivables,-117,-78,-87,-0,-45
  └─ Inventory,-100,5,-11,-14,-87
  └─ Payables,-43,92,89,51,82
  └─ Other WC items,22,-3,24,3,18
  └─ Working capital changes,-238,15,14,39,-32
  └─ Direct taxes,-76,-93,-102,-126,-128
Cash from Investing Activity,-17,30,-51,77,11
  └─ Fixed assets purchased,-25,-23,-28,-53,-51
  └─ Fixed assets sold,0,0,1,13,0
  └─ Investments purchased,-300,-267,-817,-862,-833
  └─ Investments sold,286,257,820,864,837
  └─ Interest received,43,41,64,84,93
  └─ Acquisition of companies,0,0,-41,0,0
  └─ Other investing items,-22,22,-50,31,-35
Cash from Financing Activity,98,-202,-238,-150,-251
  └─ Proceeds from shares,4,0,5,5,3
  └─ Proceeds from borrowings,158,0,1,90,73
  └─ Repayment of borrowings,0,-26,0,0,0
  └─ Interest paid fin,-7,-34,-27,-32,-37
  └─ Dividends paid,-45,-25,-201,-196,-242
  └─ Financial liabilities,-11,-12,-16,-17,-49
  └─ Other financing items,-1,-105,-0,0,0
Net Cash Flow,57,102,53,323,110
  └─ Free Cash Flow,-48,250,315,355,299
  └─ CFO/OP,18%,107%,105%,110%,93%
