Metric,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,0.70,4.24,1.32,-5.00,0.56,-0.54,-2.88
  └─ Profit from operations,1.50,1.87,3.09,2.92,1.53,1.81,-3.38
  └─ Receivables,-0.60,0.89,-0.34,-1.68,-0.02,-2.92,0.87
  └─ Payables,0.51,-0.26,-0.64,0.30,-0.61,0.39,0.26
  └─ Loans Advances,-0.06,0.04,0.00,-6.63,0.10,-0.02,-0.07
  └─ Other WC items,-0.64,2.11,-0.80,0.78,0.14,0.42,-0.30
  └─ Working capital changes,-0.80,2.77,-1.77,-7.23,-0.40,-2.13,0.75
  └─ Direct taxes,0.00,-0.40,0.00,-0.66,-0.57,-0.22,-0.25
  └─ Exceptional CF items,0.00,0.00,0.00,-0.02,0.00,0.00,0.00
Cash from Investing Activity,-2.81,-2.49,-2.61,-11.78,3.72,-0.90,2.04
  └─ Fixed assets purchased,-0.35,-0.27,-2.14,-4.14,-5.55,-2.16,-0.53
  └─ Investments purchased,-2.65,-2.51,-0.82,-7.27,0.00,0.00,0.00
  └─ Investments sold,0.00,0.00,0.00,0.00,8.75,1.33,2.46
  └─ Investment income,0.00,0.00,0.32,0.33,0.52,0.30,0.08
  └─ Interest received,0.24,0.37,0.00,0.00,0.00,0.00,0.00
  └─ Other investing items,-0.04,-0.07,0.03,-0.70,0.00,-0.36,0.03
Cash from Financing Activity,-0.55,-0.30,0.09,16.86,-4.43,1.69,6.65
  └─ Proceeds from shares,0.00,0.00,0.00,1.48,0.00,0.00,0.00
  └─ Proceeds from borrowings,0.00,0.18,0.52,3.91,0.00,2.12,7.37
  └─ Repayment of borrowings,-0.06,0.00,0.00,0.00,-3.84,0.00,0.00
  └─ Interest paid fin,-0.51,-0.49,-0.43,-0.59,-0.58,-0.43,-0.72
  └─ Other financing items,0.01,0.01,0.01,12.06,0.00,0.00,0.00
Net Cash Flow,-2.66,1.45,-1.20,0.08,-0.15,0.25,5.81
  └─ Free Cash Flow,0.35,3.97,-0.82,-9.14,-4.99,-2.70,-3.41
  └─ CFO/OP,59%,307%,45%,-163%,84%,-18%,79%
