Metric,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,-10.39,-5.14,3.34
  └─ Profit from operations,2.84,3.95,8.27
  └─ Receivables,-7.42,-11.73,9.47
  └─ Inventory,-5.74,-6.67,-4.77
  └─ Payables,1.50,10.59,1.16
  └─ Loans Advances,-2.36,0.55,-22.59
  └─ Other WC items,0.78,-1.27,13.12
  └─ Working capital changes,-13.23,-8.54,-3.61
  └─ Direct taxes,0.00,-0.55,-1.32
Cash from Investing Activity,-0.59,-2.05,-13.49
  └─ Fixed assets purchased,-0.59,-2.05,-8.70
  └─ Investments purchased,0.00,0.00,-3.14
  └─ Investments sold,0.00,0.00,0.08
  └─ Other investing items,0.00,0.00,-1.73
Cash from Financing Activity,11.29,7.35,10.56
  └─ Proceeds from shares,5.99,0.00,0.00
  └─ Proceeds from borrowings,5.70,8.69,12.87
  └─ Interest paid fin,-0.40,-1.34,-2.30
Net Cash Flow,0.30,0.16,0.42
  └─ Free Cash Flow,-10.98,-7.19,-5.36
  └─ CFO/OP,-527%,-122%,57%
