Metric,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,-16,7,-3,-6
  └─ Profit from operations,15.31,9.74,10.37,9.37
  └─ Receivables,-2.18,-7.41,-5.52,-6.46
  └─ Inventory,0.00,-0.17,-0.62,0.36
  └─ Payables,-0.02,-2.28,-0.18,-0.02
  └─ Other WC items,-28.57,7.43,-5.85,-9.27
  └─ Working capital changes,-30.78,-2.42,-12.17,-15.39
  └─ Direct taxes,-0.86,0.16,-1.18,-0.38
Cash from Investing Activity,-0,-2,0,6
  └─ Fixed assets purchased,-0.08,-2.29,-0.75,-0.85
  └─ Fixed assets sold,0.49,0.00,0.05,0.00
  └─ Interest received,0.39,0.55,0.85,0.47
  └─ Other investing items,-1.02,-0.33,0.10,5.88
Cash from Financing Activity,16,-5,2,1
  └─ Proceeds from shares,24.05,0.40,9.59,5.78
  └─ Interest paid fin,-5.97,-5.33,-5.60,-5.25
  └─ Dividends paid,0.00,0.00,-1.04,0.00
  └─ Other financing items,-1.94,-0.03,-0.71,0.00
Net Cash Flow,-0,0,-1,-0
  └─ Free Cash Flow,-16,5,-4,-7
  └─ CFO/OP,-178%,74%,-17%,-66%
