Metric,Mar 2022,Mar 2023
  └─ Profit from operations,1155,726
  └─ Receivables,111,-419
  └─ Inventory,-597,-0
  └─ Payables,-129,204
  └─ Loans Advances,-0,0
  └─ Other WC items,-391,-691
  └─ Working capital changes,-1006,-906
  └─ Direct taxes,-235,-183
  └─ Fixed assets sold,0,0
  └─ Capital WIP,-344,-102
  └─ Subsidy received,0,17
  └─ Interest received,5,3
  └─ Other investing items,21,-0
  └─ Proceeds from borrowings,497,557
  └─ Repayment of borrowings,-0,-0
  └─ Interest paid fin,-54,-74
  └─ Dividends paid,-39,-14
  └─ Financial liabilities,-5,-42
  └─ Other financing items,2,21
