Metric,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Cash from Operating Activity,61,15,66,42
  └─ Profit from operations,150,92,58,97
  └─ Receivables,-21,-22,-25,-18
  └─ Inventory,-17,-49,7,-140
  └─ Payables,12,48,28,96
  └─ Other WC items,-33,-36,5,10
  └─ Working capital changes,-60,-59,15,-51
  └─ Direct taxes,-30,-17,-6,-4
Cash from Investing Activity,-136,-247,-158,-54
  └─ Fixed assets purchased,-113,-254,-179,-56
  └─ Fixed assets sold,0,0,0,0
  └─ Investments purchased,-24,0,0,0
  └─ Investments sold,0,6,20,0
  └─ Interest received,1,1,1,2
  └─ Dividends received,0,0,0,0
Cash from Financing Activity,170,124,88,13
  └─ Proceeds from shares,76,0,0,0
  └─ Proceeds from borrowings,101,136,101,102
  └─ Repayment of borrowings,0,0,0,-58
  └─ Interest paid fin,-5,-6,-10,-28
  └─ Dividends paid,-3,-5,-3,-2
  └─ Financial liabilities,-0,-0,-0,0
  └─ Other financing items,0,-0,0,0
Net Cash Flow,95,-107,-4,1
  └─ Free Cash Flow,-52,-238,-113,-15
  └─ CFO/OP,60%,37%,125%,47%
