Metric,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,136,54,100,11,-8,58,193,78
  └─ Profit from operations,190,169,131,28,39,163,101,148
  └─ Receivables,-17,-39,-16,-0,-11,-19,55,-62
  └─ Payables,16,-13,10,14,2,-12,-17,33
  └─ Other WC items,6,-13,8,-20,-30,-39,79,-24
  └─ Working capital changes,5,-66,1,-6,-40,-70,117,-53
  └─ Direct taxes,-59,-50,-32,-11,-8,-35,-25,-17
Cash from Investing Activity,-104,-13,116,-139,12,19,-159,-14
  └─ Fixed assets purchased,-27,-12,-9,-6,-8,-32,-48,-67
  └─ Fixed assets sold,0,0,0,0,0,0,0,0
  └─ Investments purchased,-146,-61,-40,-145,0,-55,-402,-701
  └─ Investments sold,58,26,165,1,0,45,294,730
  └─ Interest received,22,24,32,3,9,50,51,56
  └─ Dividends received,1,2,1,0,0,0,0,0
  └─ Other investing items,-12,9,-33,9,10,10,-53,-31
Cash from Financing Activity,-39,-39,-183,-1,-1,-47,-42,-54
  └─ Proceeds from shares,0.16,0.08,4.07,0.00,0.00,1.24,5.71,2.73
  └─ Interest paid fin,-2.19,0.00,0.00,-0.27,-0.22,-1.67,-2.34,-6.68
  └─ Dividends paid,-26.00,-26.00,-180.47,0.00,0.00,-40.45,-40.46,-40.52
  └─ Financial liabilities,-5.84,-8.04,-6.92,-0.92,-1.09,-6.57,-5.15,-9.40
  └─ Other financing items,-5.35,-5.35,0.00,0.00,0.00,0.00,0.00,0.00
Net Cash Flow,-7,2,32,-129,2,29,-8,10
  └─ Free Cash Flow,109,42,91,4,-16,26,145,12
  └─ CFO/OP,110%,70%,156%,18%,-0%,104%,271%,82%
