Metric,Mar 2021,Mar 2022
Cash from Operating Activity,1.03,
  └─ Profit from operations,-4.80,-1.99
  └─ Receivables,2.81,-0.03
  └─ Inventory,2.11,2.23
  └─ Payables,-0.22,-0.28
  └─ Loans Advances,0.29,0.06
  └─ Operating borrowings,0.79,1.30
  └─ Other WC items,0.04,-0.17
  └─ Working capital changes,5.83,3.11
Cash from Investing Activity,1.61,
  └─ Fixed assets purchased,-0.09,-0.01
  └─ Fixed assets sold,1.22,0.08
  └─ Investments sold,0.00,0.25
  └─ Other investing items,0.48,0.27
Cash from Financing Activity,-2.37,
  └─ Repayment of borrowings,-1.03,-0.69
  └─ Interest paid fin,-1.34,-1.24
Net Cash Flow,0.27,
  └─ Free Cash Flow,2.16,
  └─ CFO/OP,-27%,
