Metric,Dec 2012,Dec 2013,Dec 2014,Dec 2015
Cash from Operating Activity,63,51,94,
  └─ Profit from operations,95,124,122,
  └─ Receivables,-16,-50,-36,
  └─ Inventory,-0,-5,-5,
  └─ Payables,1,21,25,
  └─ Loans Advances,5,-7,-7,
  └─ Other WC items,-2,-1,6,
  └─ Working capital changes,-13,-41,-17,
  └─ Direct taxes,-20,-25,-15,
  └─ Exceptional CF items,0,-7,4,
Cash from Investing Activity,-54,-21,-204,
  └─ Fixed assets purchased,-24,-38,-81,
  └─ Fixed assets sold,0,7,1,
  └─ Investments purchased,-279,-231,-349,
  └─ Investments sold,282,237,217,
  └─ Subsidy received,0,0,0,
  └─ Interest received,0,0,0,
  └─ Dividends received,6,3,7,
  └─ Acquisition of companies,-1,0,0,
  └─ Other investing items,-38,0,0,
Cash from Financing Activity,-16,-28,106,
  └─ Proceeds from shares,0,0,134,
  └─ Proceeds from borrowings,0,12,5,
  └─ Repayment of borrowings,2,-17,-8,
  └─ Interest paid fin,-1,-4,-3,
  └─ Dividends paid,-17,-19,-20,
  └─ Other financing items,-1,-1,-1,
Net Cash Flow,-8,1,-4,
  └─ Free Cash Flow,39,20,14,
  └─ CFO/OP,91%,66%,91%,
