Metric,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,3,1,10,-11
  └─ Profit from operations,4.34,5.13,4.69,6.54
  └─ Receivables,-4.87,-3.85,-3.88,-23.49
  └─ Inventory,2.85,-0.18,6.55,-8.94
  └─ Payables,0.81,-2.23,1.70,13.77
  └─ Other WC items,0.91,2.27,1.89,1.77
  └─ Working capital changes,-0.30,-3.99,6.26,-16.88
  └─ Direct taxes,-0.72,-0.58,-0.87,-0.85
Cash from Investing Activity,-2,-3,-0,-0
  └─ Fixed assets purchased,-1.99,-3.81,-0.57,-0.63
  └─ Fixed assets sold,0.00,0.00,0.00,0.20
  └─ Investments sold,0.00,0.42,0.00,0.00
  └─ Interest received,0.01,0.00,0.06,0.01
  └─ Other investing items,-0.16,0.01,0.05,-0.08
Cash from Financing Activity,-1,3,-10,12
  └─ Proceeds from borrowings,0.49,4.75,0.00,13.10
  └─ Repayment of borrowings,-0.40,-0.27,-7.95,-0.02
  └─ Interest paid fin,-1.29,-1.66,-1.59,-1.26
  └─ Financial liabilities,-0.12,0.00,-0.12,-0.11
Net Cash Flow,-0,0,-0,0
  └─ Free Cash Flow,1,-3,10,-12
  └─ CFO/OP,111%,23%,247%,-158%
