Metric,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,28,12,10,30,41,53,30
  └─ Profit from operations,35,42,53,59,63,61,62
  └─ Receivables,-6,-5,1,-2,-30,-3,-12
  └─ Inventory,1,-12,-23,1,-2,-8,-6
  └─ Payables,0,-3,13,-16,4,-3,-1
  └─ Loans Advances,0,0,-1,0,8,14,-5
  └─ Operating borrowings,0,0,-31,-6,0,0,0
  └─ Other WC items,-5,23,1,0,2,-2,-2
  └─ Working capital changes,-10,2,-41,-23,-18,-2,-27
  └─ Direct taxes,-2,-2,-2,-6,-5,-5,-6
  └─ Other operating items,5,-31,0,0,0,0,0
Cash from Investing Activity,-15,-16,-26,-8,-3,-75,25
  └─ Fixed assets purchased,-16.79,-16.29,-24.63,-9.47,-9.12,-26.85,-29.55
  └─ Fixed assets sold,0.25,0.00,0.00,0.00,6.43,0.06,0.07
  └─ Investments purchased,0.00,0.00,-1.31,0.00,0.00,0.00,0.00
  └─ Investments sold,0.00,0.00,0.00,0.99,0.00,0.00,0.00
  └─ Interest received,1.50,0.15,0.11,0.20,0.21,1.75,5.35
  └─ Dividends received,0.00,0.00,0.00,0.00,0.01,0.01,0.01
  └─ Other investing items,0.15,0.00,-0.14,-0.09,-0.12,-50.35,49.34
Cash from Financing Activity,-13,5,16,-22,-26,68,-41
  └─ Proceeds from shares,0.00,0.00,0.00,0.00,0.00,201.84,0.00
  └─ Proceeds from borrowings,28.34,39.60,40.22,7.94,15.59,15.00,2.78
  └─ Repayment of borrowings,-21.53,-13.18,0.00,-2.29,-24.07,-113.56,-26.48
  └─ Interest paid fin,-19.77,-21.21,-23.82,-27.64,-28.31,-23.91,-17.31
  └─ Financial liabilities,0.00,0.00,0.00,0.00,0.00,-0.33,-0.33
  └─ Share application money,0.00,0.00,0.00,0.00,11.10,0.00,0.00
  └─ Application money refund,0.00,0.00,0.00,0.00,0.00,-11.10,0.00
  └─ Other financing items,0.07,0.00,0.00,0.00,0.00,0.00,0.00
Net Cash Flow,-0,1,0,-0,12,46,14
  └─ Free Cash Flow,11,-5,-15,21,38,26,0
  └─ CFO/OP,88%,33%,22%,61%,73%,100%,61%
