Metric,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,35,19,139,64,81,66,138,118
  └─ Profit from operations,68,86,91,111,125,138,164,172
  └─ Receivables,0,36,-5,-10,4,-41,-48,-30
  └─ Payables,15,-27,-3,-3,-5,9,-11,-11
  └─ Other WC items,-4,-37,24,9,-4,-12,31,14
  └─ Working capital changes,11,-29,16,-4,-5,-45,-27,-27
  └─ Direct taxes,-45,-38,0,0,-39,-27,2,0
  └─ Advance tax,0,0,32,-43,0,0,0,0
  └─ Other operating items,0,0,0,0,0,0,0,-26
Cash from Investing Activity,-21,-22,-61,-83,-10,-55,-218,-160
  └─ Fixed assets purchased,-21,-21,-13,-12,-28,-18,-46,-56
  └─ Fixed assets sold,0,0,0,9,0,1,0,0
  └─ Investments purchased,-23,-52,-44,-86,0,-24,-192,-2
  └─ Investments sold,26,72,14,0,154,0,4,228
  └─ Interest received,1,0,7,3,4,10,14,5
  └─ Dividends received,0,0,0,0,0,0,0,0
  └─ Acquisition of companies,0,0,0,0,-28,-109,0,-402
  └─ Other investing items,-4,-23,-24,3,-113,86,3,68
Cash from Financing Activity,-10,-12,-10,-30,-32,-15,112,12
  └─ Proceeds from shares,0,0,0,0,0,15,8,205
  └─ Redemption of debentures,0,0,-0,0,0,0,0,0
  └─ Proceeds from borrowings,0,0,0,0,0,0,150,0
  └─ Repayment of borrowings,0,0,0,0,-4,-0,0,-155
  └─ Interest paid fin,-0,-0,-1,-0,-0,-1,-3,-15
  └─ Dividends paid,0,0,0,-17,-13,-13,-28,0
  └─ Financial liabilities,-10,-12,-9,-13,-14,-16,-15,-23
Net Cash Flow,4,-15,69,-49,39,-3,32,-30
  └─ Free Cash Flow,14,-2,126,62,53,49,92,62
  └─ CFO/OP,97%,70%,141%,116%,100%,70%,89%,68%
