Metric,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,48,63,59
  └─ Profit from operations,69,102,119
  └─ Receivables,-30,-26,-40
  └─ Inventory,-1,-2,-7
  └─ Payables,1,1,3
  └─ Loans Advances,7,-3,-1
  └─ Other WC items,6,-2,-8
  └─ Working capital changes,-16,-32,-53
  └─ Direct taxes,-4,-7,-7
Cash from Investing Activity,-131,-110,-126
  └─ Fixed assets purchased,-112,-90,-117
  └─ Fixed assets sold,1,0,2
  └─ Capital WIP,0,-20,1
  └─ Investments purchased,-19,0,-12
  └─ Investments sold,0,1,0
  └─ Other investing items,-0,-0,-0
Cash from Financing Activity,87,80,44
  └─ Proceeds from shares,29,99,0
  └─ Proceeds from borrowings,78,6,61
  └─ Repayment of borrowings,0,-9,0
  └─ Interest paid fin,-11,-17,-17
  └─ Other financing items,-9,0,0
Net Cash Flow,5,34,-23
  └─ Free Cash Flow,-63,-47,-55
  └─ CFO/OP,80%,72%,61%
