Metric,Mar 2006,Mar 2007,Mar 2008,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,2,-3,9,50,28,27,23
  └─ Profit from operations,5,6,7,42,35,36,53
  └─ Receivables,-0,0,-2,1,-5,-6,-30
  └─ Inventory,0,0,-1,-0,-1,-4,-4
  └─ Payables,1,0,6,-1,0,2,5
  └─ Loans Advances,0,0,0,1,-0,0,-0
  └─ Other WC items,0,-5,0,7,0,-2,0
  └─ Working capital changes,0,-5,3,8,-6,-9,-29
  └─ Interest paid,-1,0,0,0,0,0,0
  └─ Direct taxes,-2,-4,-2,0,0,0,0
Cash from Investing Activity,-7,-4,-4,-23,-19,-26,-18
  └─ Fixed assets purchased,-7.12,0.00,-4.08,-5.66,-12.51,-31.02,-26.94
  └─ Fixed assets sold,0.16,0.00,0.13,0.17,0.00,0.08,0.00
  └─ Capital WIP,0.00,0.00,0.00,-8.29,-5.83,5.03,9.00
  └─ Investments purchased,0.00,0.00,0.00,-9.54,-2.40,-1.61,-1.10
  └─ Investments sold,0.11,0.00,0.12,0.06,0.68,0.23,0.00
  └─ Interest received,0.00,0.00,0.00,0.44,1.12,1.02,0.81
  └─ Other investing items,-0.26,-3.89,0.00,-0.13,-0.54,-0.16,0.00
Cash from Financing Activity,5,3,-3,-23,4,-7,-12
  └─ Proceeds from shares,0.00,0.00,0.00,8.25,0.00,0.00,0.00
  └─ Proceeds from debentures,0.16,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Proceeds from borrowings,4.99,0.00,0.00,0.00,19.85,8.37,4.49
  └─ Repayment of borrowings,0.00,0.00,-0.21,-8.64,0.00,0.00,-0.64
  └─ Interest paid fin,0.00,0.00,-3.27,-2.91,-3.27,-3.76,-5.08
  └─ Dividends paid,0.00,0.00,0.00,-11.21,-12.61,-11.21,-11.21
  └─ Financial liabilities,0.00,0.00,0.00,0.00,0.00,-0.03,-0.06
  └─ Other financing items,0.00,3.32,0.00,-8.25,0.00,0.00,0.00
Net Cash Flow,0,-3,1,4,13,-6,-7
  └─ Free Cash Flow,-5,-3,5,36,10,1,5
  └─ CFO/OP,77%,16%,143%,95%,65%,60%,40%
