Metric,Mar 2012,Sep 2013,Sep 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023
Cash from Operating Activity,-23,108,-8,7,4,-1,1,1,0,-0,-0,-0
  └─ Profit from operations,21.40,76.92,-26.66,-42.37,5.01,-0.93,-0.80,-98.88,-32.65,-6.31,0.82,-12.63
  └─ Receivables,-75.02,-42.83,50.43,17.72,-4.28,3.45,-1.23,104.47,2.14,1.28,0.10,10.89
  └─ Inventory,-9.11,26.90,48.52,55.38,-7.66,-7.02,15.15,13.69,17.10,0.89,-1.53,6.69
  └─ Payables,38.56,46.43,-79.88,-23.53,10.88,9.77,-5.50,-13.42,-6.97,-2.27,3.65,-2.94
  └─ Loans Advances,0.00,0.00,0.00,0.00,0.00,0.32,-0.76,0.30,9.99,0.00,0.00,0.00
  └─ Operating investments,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.11,0.00,0.00,0.00,0.00
  └─ Operating borrowings,0.00,0.00,0.00,0.00,0.00,1.25,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Other WC items,0.00,0.00,0.00,0.00,0.00,-7.97,-5.51,-6.30,10.58,6.15,-3.30,-2.80
  └─ Working capital changes,-45.57,30.50,19.07,49.57,-1.05,-0.21,2.16,99.85,32.84,6.05,-1.07,11.84
  └─ Direct taxes,1.19,0.16,0.00,0.00,0.00,0.00,-0.03,-0.10,-0.12,-0.15,-0.16,0.47
  └─ Advance tax,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00
Cash from Investing Activity,1,-32,6,-3,1,-1,-0,-0,0,0,0,0
  └─ Fixed assets purchased,-5.65,-2.31,-0.25,-2.54,-0.06,-1.24,-0.81,-0.56,-0.14,0.00,0.00,0.00
  └─ Fixed assets sold,0.04,0.05,0.00,0.00,0.14,0.01,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Investments purchased,0.00,-31.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Investments sold,0.00,0.00,5.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Interest received,0.93,1.57,0.89,0.09,0.56,0.37,0.30,0.25,0.27,0.12,0.10,0.12
  └─ Other investing items,5.30,0.92,0.24,-0.41,0.27,0.13,0.01,0.03,0.01,0.00,0.00,0.00
Cash from Financing Activity,-7,-106,-2,-7,-2,-2,-0,-1,-0,-0,0,0
  └─ Proceeds from borrowings,66.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Repayment of borrowings,-41.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Investment subsidy,2.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Interest paid fin,-46.01,-75.48,-43.56,-2.75,-21.30,-0.45,-0.37,-0.26,-0.06,-0.06,0.00,0.00
  └─ Other financing items,11.66,-30.88,41.99,-3.99,19.28,-1.51,0.00,-0.92,0.00,0.00,0.00,0.00
Net Cash Flow,-29,-30,-3,-2,3,-4,0,-1,0,-0,-0,-0
  └─ Free Cash Flow,-29,105,-8,5,4,-2,1,0,-0,-0,-0,-0
  └─ CFO/OP,-108%,166%,39%,-19%,-61%,50%,-26%,-9%,-1%,4%,-2500%,5%
