Metric,Mar 2025,Mar 2026
Cash from Operating Activity,5.59,-13.07
  └─ Profit from operations,6.61,10.25
  └─ Receivables,-5.19,-26.94
  └─ Payables,6.18,2.57
  └─ Loans Advances,0.20,-0.75
  └─ Operating investments,-1.90,1.30
  └─ Other WC items,-0.15,2.57
  └─ Working capital changes,-0.86,-21.25
  └─ Direct taxes,-0.16,-2.08
Cash from Investing Activity,-0.16,-5.16
  └─ Fixed assets purchased,-0.24,-1.87
  └─ Capital WIP,0.00,-3.44
  └─ Interest received,0.08,0.15
Cash from Financing Activity,-3.04,18.95
  └─ Proceeds from shares,0.00,17.82
  └─ Proceeds from borrowings,0.28,4.22
  └─ Repayment of borrowings,-2.92,0.00
  └─ Interest paid fin,-0.40,-0.50
  └─ Other financing items,0.00,-2.59
Net Cash Flow,2.40,0.72
  └─ Free Cash Flow,5.35,-18.38
  └─ CFO/OP,86%,-107%
