Metric,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,9,6,11
  └─ Profit from operations,15.25,17.07,17.29
  └─ Receivables,-5.08,-6.56,-0.79
  └─ Payables,-0.01,-0.45,0.52
  └─ Loans Advances,0.00,0.00,-1.43
  └─ Other WC items,0.58,-1.61,-0.70
  └─ Working capital changes,-4.51,-8.62,-2.41
  └─ Direct taxes,-1.49,-2.80,-4.20
  └─ Other operating items,-0.09,-0.03,-0.16
Cash from Investing Activity,-1,-2,-3
  └─ Fixed assets purchased,-0.03,-0.01,-0.01
  └─ Investments purchased,-1.03,-1.49,-2.89
  └─ Investments sold,0.00,0.00,0.06
Cash from Financing Activity,17,0,0
  └─ Proceeds from shares,16.83,0.15,0.34
Net Cash Flow,25,4,8
  └─ Free Cash Flow,9,6,10
  └─ CFO/OP,105%,57%,100%
