Metric,Mar 2012,Mar 2013,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,,,17,38,75,18,-13
  └─ Profit from operations,,,39,49,52,54,58
  └─ Receivables,,,21,-12,3,4,-0
  └─ Inventory,,,6,12,-22,-108,-113
  └─ Payables,,,20,-15,16,36,52
  └─ Loans Advances,,,-78,-21,-0,-28,0
  └─ Operating investments,,,0,0,0,0,26
  └─ Other WC items,,,12,25,28,61,-33
  └─ Working capital changes,,,-19,-10,23,-35,-69
  └─ Direct taxes,,,-3,-1,-0,-1,-1
Cash from Investing Activity,,,-20,-3,-27,-4,3
  └─ Fixed assets purchased,,,-1.12,-2.55,-26.78,-7.92,-3.01
  └─ Fixed assets sold,,,0.07,0.05,0.05,0.11,0.06
  └─ Investments purchased,,,0.00,0.00,-1.00,0.00,-0.12
  └─ Investments sold,,,0.00,0.00,0.00,0.26,0.00
  └─ Interest received,,,1.09,0.02,0.32,3.59,6.53
  └─ Other investing items,,,-19.90,-0.40,0.00,0.00,0.00
Cash from Financing Activity,,,-22,-2,-8,-2,-4
  └─ Proceeds from borrowings,,,2.44,13.37,8.34,13.41,27.20
  └─ Repayment of borrowings,,,-10.26,-1.11,-3.21,-1.25,-11.20
  └─ Interest paid fin,,,-10.61,-10.12,-9.11,-10.48,-15.99
  └─ Dividends paid,,,-3.80,-3.80,-3.80,-3.80,-3.80
Net Cash Flow,,,-25,34,39,11,-13
  └─ Free Cash Flow,,,16,36,48,10,-16
  └─ CFO/OP,,,54%,80%,150%,37%,-22%
