Metric,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,7,2,-1,-7,-8,69,-116
  └─ Profit from operations,7,9,6,11,35,126,327
  └─ Receivables,4,1,-3,-2,-52,-54,-131
  └─ Inventory,1,-12,-13,-9,16,-65,-256
  └─ Payables,-2,7,-1,2,10,75,92
  └─ Loans Advances,0,-1,3,-5,-6,-40,0
  └─ Other WC items,-3,-1,8,-4,-6,39,-99
  └─ Working capital changes,1,-6,-6,-18,-38,-44,-394
  └─ Direct taxes,-1,-1,-1,-0,-5,-13,-49
Cash from Investing Activity,-1,-8,6,-9,-19,-82,-437
  └─ Fixed assets purchased,-0,-3,-1,-6,-12,-58,-332
  └─ Fixed assets sold,0,0,0,1,7,0,0
  └─ Investments purchased,0,0,0,0,-15,-0,0
  └─ Investments sold,0,1,1,0,0,1,0
  └─ Interest received,0,0,0,0,0,0,4
  └─ Other investing items,-1,-6,7,-4,0,-25,-110
Cash from Financing Activity,-6,7,-6,17,50,16,553
  └─ Proceeds from shares,0,0,0,0,63,0,111
  └─ Proceeds from borrowings,0,10,0,24,1,36,435
  └─ Repayment of borrowings,-2,0,-3,-4,-5,0,0
  └─ Interest paid fin,0,-3,-3,-4,-5,-6,-19
  └─ Financial liabilities,0,0,0,0,-3,-14,-6
  └─ Other financing items,-4,0,0,0,0,0,33
Net Cash Flow,1,0,-1,2,23,3,0
  └─ Free Cash Flow,8,-1,-2,-12,-13,11,-447
  └─ CFO/OP,116%,28%,6%,-58%,-7%,65%,-21%
