Metric,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,1,34,-48,41
  └─ Profit from operations,10,23,57,100
  └─ Receivables,-2,-13,-68,-8
  └─ Inventory,-5,1,6,-2
  └─ Payables,1,15,6,-1
  └─ Operating borrowings,-0,-1,-0,0
  └─ Other WC items,-0,5,-40,-34
  └─ Working capital changes,-6,6,-96,-45
  └─ Direct taxes,-3,5,-9,-14
Cash from Investing Activity,0,-22,-35,-71
  └─ Fixed assets purchased,0.00,-14.06,-12.82,-46.86
  └─ Fixed assets sold,0.25,0.00,0.00,0.00
  └─ Investments purchased,0.00,-7.75,-16.23,0.00
  └─ Investments sold,0.00,0.00,0.00,1.57
  └─ Interest received,0.00,0.18,1.70,0.01
  └─ Other investing items,-0.02,0.00,-7.69,-25.73
Cash from Financing Activity,-3,13,79,25
  └─ Proceeds from shares,0.00,5.43,80.46,14.64
  └─ Proceeds from borrowings,0.00,7.87,0.00,5.78
  └─ Repayment of borrowings,0.00,0.00,-0.49,0.00
  └─ Interest paid fin,-0.64,-0.08,-0.87,-1.10
  └─ Dividends paid,0.00,0.00,0.00,-0.38
  └─ Other financing items,-2.48,0.00,0.00,5.75
Net Cash Flow,-2,26,-4,-5
  └─ Free Cash Flow,1,20,-61,-6
  └─ CFO/OP,37%,126%,-69%,55%
