Metric,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,1286,1043,522,-18,-320
  └─ Profit from operations,-83,-93,-103,-102,-143
  └─ Payables,4,-3,3,1,5
  └─ Operating borrowings,1007,854,0,0,0
  └─ Other WC items,-22,-55,16,25,5
  └─ Working capital changes,988,796,19,26,10
  └─ Interest paid,445,404,341,354,414
  └─ Direct taxes,-70,-64,-40,-43,-38
  └─ Other operating items,5,0,306,-254,-563
Cash from Investing Activity,-3,-213,64,-87,52
  └─ Fixed assets purchased,-5,-6,-4,-3,-5
  └─ Fixed assets sold,0,0,0,0,0
  └─ Investments purchased,-19257,-5749,-2706,-1349,-842
  └─ Investments sold,19259,5542,2773,1264,899
  └─ Dividends received,0,0,0,0,0
Cash from Financing Activity,-892,-1238,-619,122,255
  └─ Proceeds from borrowings,5850,3380,5395,7787,7234
  └─ Repayment of borrowings,-6713,-4585,-5981,-7631,-6944
  └─ Dividends paid,-22,-24,-24,-24,-24
  └─ Financial liabilities,-7,-9,-9,-9,-10
Net Cash Flow,391,-408,-34,18,-14
  └─ Free Cash Flow,1281,1037,518,-20,-325
  └─ CFO/OP,145%,111%,61%,3%,-33%
