Metric,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,Mar 2021
Cash from Operating Activity,-10,2,-56,10,8,
  └─ Profit from operations,20.82,36.76,42.72,43.65,46.31,20.93
  └─ Receivables,-15.39,-43.80,-105.87,-24.25,-25.75,0.63
  └─ Inventory,-4.75,-0.28,-17.34,-0.92,-5.19,-2.00
  └─ Payables,-3.52,16.79,36.26,2.50,6.75,13.23
  └─ Working capital changes,-23.66,-27.29,-86.94,-22.67,-24.18,11.85
  └─ Direct taxes,-7.63,-7.30,-11.40,-11.26,-13.84,-7.77
Cash from Investing Activity,-2,0,48,-2,1,
  └─ Fixed assets purchased,-4.28,-14.64,-19.82,-4.58,-6.91,-4.37
  └─ Fixed assets sold,0.30,2.02,0.00,0.15,0.01,1.82
  └─ Investments purchased,-37.34,-25.94,-18.18,-9.80,-12.23,-63.79
  └─ Investments sold,39.37,38.62,5.46,4.07,17.83,55.04
  └─ Interest received,0.00,0.00,1.12,1.63,2.06,0.00
  └─ Dividends received,0.07,0.08,0.00,0.00,0.00,0.06
  └─ Other investing items,0.00,0.00,79.81,6.56,0.00,0.00
Cash from Financing Activity,-4,-2,13,-1,-4,
  └─ Proceeds from shares,0.00,0.00,13.45,0.00,0.00,0.00
  └─ Proceeds from borrowings,0.07,5.81,0.00,0.00,0.00,0.00
  └─ Repayment of borrowings,-0.44,0.00,0.00,0.00,0.00,-1.49
  └─ Interest paid fin,-0.69,-1.04,-0.59,-0.67,-0.67,-0.42
  └─ Dividends paid,-3.03,-6.82,0.00,0.00,-3.36,0.00
Net Cash Flow,-16,0,6,7,5,
  └─ Free Cash Flow,-14,-10,-75,5,1,
  └─ CFO/OP,-17%,27%,-105%,50%,47%,
