Metric,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,,-11,-3,-14,-4
  └─ Profit from operations,,5,11,31,77
  └─ Receivables,,-11,-7,-99,-278
  └─ Inventory,,-1,-1,-7,-4
  └─ Payables,,-1,0,84,129
  └─ Loans Advances,,1,-8,-22,-3
  └─ Other WC items,,-3,3,1,82
  └─ Working capital changes,,-16,-12,-43,-73
  └─ Direct taxes,,-1,-1,-2,-8
Cash from Investing Activity,,-0,-2,-37,-34
  └─ Fixed assets purchased,,-0.12,-0.74,-0.22,-2.17
  └─ Fixed assets sold,,0.00,0.00,0.03,0.10
  └─ Investments sold,,0.00,0.11,0.00,0.00
  └─ Interest received,,0.09,0.17,0.48,4.56
  └─ Invest in subsidiaries,,0.00,0.00,-9.41,-8.83
  └─ Loans to subsidiaries,,0.00,0.00,-6.25,0.00
  └─ Redemp n Canc of Shares,,0.00,0.01,0.00,0.00
  └─ Other investing items,,0.00,-1.46,-21.24,-27.56
Cash from Financing Activity,,11,5,52,39
  └─ Proceeds from shares,,8.15,0.00,19.96,2.41
  └─ Proceeds from borrowings,,3.60,6.91,34.35,48.94
  └─ Repayment of borrowings,,0.00,-0.29,0.00,0.00
  └─ Interest paid fin,,-1.07,-1.76,-2.60,-10.76
  └─ Other financing items,,0.00,0.00,0.00,-2.07
Net Cash Flow,,-1,-0,1,1
  └─ Free Cash Flow,,-11,-4,-14,-6
  └─ CFO/OP,,-191%,-16%,-36%,5%
