Metric,Mar 2016,Mar 2017
Cash from Operating Activity,4,16
  └─ Profit from operations,19.82,26.44
  └─ Receivables,-10.40,-12.82
  └─ Inventory,-0.46,0.41
  └─ Payables,0.44,9.31
  └─ Loans Advances,-4.87,-8.43
  └─ Other WC items,0.02,1.96
  └─ Working capital changes,-15.28,-9.57
  └─ Direct taxes,-0.26,-0.95
Cash from Investing Activity,-5,-24
  └─ Fixed assets purchased,-5.99,-27.97
  └─ Fixed assets sold,1.15,4.44
  └─ Investments purchased,-0.07,-0.05
  └─ Interest received,0.06,0.05
  └─ Other investing items,-0.07,0.01
Cash from Financing Activity,1,7
  └─ Proceeds from borrowings,8.97,21.60
  └─ Repayment of borrowings,0.00,-3.38
  └─ Interest paid fin,-8.69,-10.87
  └─ Share application money,0.26,0.00
Net Cash Flow,-0,-0
  └─ Free Cash Flow,-1,-8
  └─ CFO/OP,23%,64%
