Metric,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,-0,151,389,628,475,462,1002,1390,1195
  └─ Profit from operations,-0,88,341,353,476,738,1052,1378,1417
  └─ Receivables,0,-150,144,106,-37,-205,-180,77,-64
  └─ Inventory,0,-1,-1,11,0,-0,-32,6,-3
  └─ Payables,0,91,-23,51,-2,-13,75,-59,3
  └─ Other WC items,0,141,11,140,126,41,224,194,57
  └─ Working capital changes,0,82,130,308,87,-177,87,217,-8
  └─ Direct taxes,0,-18,-83,-33,-89,-99,-137,-205,-214
Cash from Investing Activity,0,16,-136,-503,-292,-167,-561,-628,-1186
  └─ Fixed assets purchased,0,-27,-69,-60,-69,-130,-155,-130,-143
  └─ Fixed assets sold,0,1,1,0,0,2,0,2,4
  └─ Investments purchased,0,-10,-84,-292,-263,-534,-422,-800,-811
  └─ Investments sold,0,10,119,176,293,608,379,656,926
  └─ Interest received,0,1,2,5,14,20,5,10,19
  └─ Dividends received,0,0,1,0,0,0,0,0,0
  └─ Investment in group cos,0,0,0,0,-21,0,0,0,0
  └─ Acquisition of companies,0,-67,-2,0,-63,-578,-350,-155,-1285
  └─ Other investing items,0,108,-106,-333,-185,444,-19,-211,103
Cash from Financing Activity,0,34,-177,-115,-127,-183,-240,-342,89
  └─ Proceeds from shares,0,2,1,1,3,2,2,1,1
  └─ Proceeds from borrowings,0,190,128,218,180,104,453,143,746
  └─ Repayment of borrowings,0,-147,-210,-273,-181,-111,-468,-182,-292
  └─ Interest paid fin,0,-8,-7,-4,-3,-9,-19,-19,-49
  └─ Dividends paid,0,0,-57,0,-74,-89,-129,-193,-224
  └─ Financial liabilities,0,0,-32,-56,-52,-58,-78,-91,-92
  └─ Other financing items,0,-3,-0,0,0,-23,0,0,0
Net Cash Flow,0,201,75,10,56,112,201,419,98
  └─ Free Cash Flow,-0,125,321,568,406,335,847,1262,1056
  └─ CFO/OP,4%,185%,163%,215%,125%,89%,115%,130%,115%
