Metric,Mar 2020,Mar 2021,Mar 2022
Cash from Operating Activity,-3,50,44
  └─ Profit from operations,24,54,64
  └─ Receivables,9,10,-2
  └─ Inventory,-40,11,-10
  └─ Payables,11,-23,-9
  └─ Other WC items,-5,5,11
  └─ Working capital changes,-25,3,-10
  └─ Direct taxes,-2,-6,-10
Cash from Investing Activity,-19,-10,-14
  └─ Fixed assets purchased,-14.79,-9.74,-11.74
  └─ Fixed assets sold,0.75,0.03,0.02
  └─ Investments purchased,-5.00,-0.01,-2.45
  └─ Interest received,0.26,0.16,0.14
Cash from Financing Activity,15,-41,-20
  └─ Proceeds from shares,0.72,0.39,0.00
  └─ Proceeds from borrowings,30.02,0.00,0.00
  └─ Repayment of borrowings,0.00,-24.78,-6.47
  └─ Interest paid fin,-10.65,-12.80,-8.98
  └─ Dividends paid,-3.19,-1.35,-2.14
  └─ Financial liabilities,-2.15,-2.40,-2.39
Net Cash Flow,-7,-0,10
  └─ Free Cash Flow,-17,40,32
  └─ CFO/OP,-2%,112%,92%
