Metric,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,38,57,33
  └─ Profit from operations,59,66,62
  └─ Receivables,-11,-0,5
  └─ Inventory,-14,3,-11
  └─ Payables,19,-0,-1
  └─ Other WC items,-3,2,-6
  └─ Working capital changes,-9,4,-15
  └─ Direct taxes,-12,-13,-14
Cash from Investing Activity,-20,-35,-33
  └─ Fixed assets purchased,-28.45,-17.05,-37.90
  └─ Fixed assets sold,1.52,0.61,4.36
  └─ Interest received,2.00,1.48,2.04
  └─ Investment in group cos,-0.22,-14.13,0.00
  └─ Other investing items,4.72,-6.00,-1.04
Cash from Financing Activity,-11,-11,-13
  └─ Proceeds from shares,0.00,0.00,0.53
  └─ Proceeds from borrowings,0.00,0.00,0.07
  └─ Repayment of borrowings,-0.09,-0.56,0.00
  └─ Interest paid fin,-3.09,-3.36,-1.37
  └─ Dividends paid,-7.44,-7.44,-8.92
  └─ Financial liabilities,0.00,0.00,-2.97
Net Cash Flow,7,10,-12
  └─ Free Cash Flow,11,40,-0
  └─ CFO/OP,88%,109%,79%
