Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,65,86,40,11,126,-61,116,144,41,78,68,4
  └─ Profit from operations,66,60,50,67,93,56,65,157,147,128,111,82
  └─ Receivables,-8,1,-4,-22,16,-14,-0,4,-22,-0,-38,17
  └─ Inventory,13,23,3,-38,39,-99,51,-7,-71,-52,4,-75
  └─ Payables,-0,9,-2,5,-5,11,3,8,4,17,2,-1
  └─ Other WC items,0,0,1,6,1,-3,3,6,2,-1,1,-7
  └─ Working capital changes,5,33,-3,-49,51,-104,56,10,-87,-35,-32,-67
  └─ Direct taxes,-6,-7,-7,-7,-17,-12,-6,-23,-19,-15,-12,-12
Cash from Investing Activity,-22,-30,-29,-43,-146,-92,-68,-85,-43,-39,-1,-10
  └─ Fixed assets purchased,-28.72,-20.18,-18.30,-32.52,-120.67,-164.06,-74.78,-30.69,-36.86,-42.55,-39.84,-15.10
  └─ Fixed assets sold,0.65,0.09,0.98,3.05,1.09,6.97,3.49,2.40,5.72,6.91,5.59,0.00
  └─ Investments purchased,0.00,-12.18,-13.93,-14.93,-27.55,0.00,0.00,-57.03,-12.50,-5.57,0.00,-18.59
  └─ Investments sold,4.32,0.00,0.00,0.00,0.00,63.32,2.40,0.00,0.00,0.00,30.93,22.14
  └─ Interest received,1.83,2.55,1.80,1.37,1.15,1.53,0.99,0.69,0.73,1.99,2.08,1.92
  └─ Other investing items,-0.08,0.00,0.00,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,0.00,-0.01
Cash from Financing Activity,-31,-59,-21,42,18,151,-50,-60,2,-36,-66,6
  └─ Proceeds from shares,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.87,0.00,0.00,0.00,0.00
  └─ Proceeds from borrowings,0.00,0.00,0.00,50.86,71.29,159.60,39.32,38.45,66.12,34.50,5.29,46.93
  └─ Repayment of borrowings,0.00,0.00,0.00,-2.00,-39.27,0.00,-65.14,-82.47,-24.07,-28.10,-42.64,-8.05
  └─ Interest paid fin,-17.35,-14.96,-12.33,-16.97,-16.00,-17.69,-21.11,-22.25,-26.56,-31.20,-28.10,-29.31
  └─ Dividends paid,-3.05,-8.50,-0.31,-4.43,-12.28,-0.10,-2.99,-18.95,-12.57,-12.29,-0.12,-3.32
  └─ Financial liabilities,0.00,0.00,0.00,0.00,0.00,-0.40,-0.34,-0.37,-0.51,-0.59,-0.65,-0.71
  └─ Other financing items,-11.00,-36.02,-8.33,15.00,14.00,9.77,0.00,0.00,0.00,2.10,0.00,0.00
Net Cash Flow,12,-3,-10,11,-2,-2,-2,-0,0,3,0,-0
  └─ Free Cash Flow,37,66,23,-18,7,-218,45,116,10,42,34,-11
  └─ CFO/OP,112%,155%,94%,29%,156%,-86%,188%,106%,41%,72%,71%,19%
