Metric,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,3,2,1
  └─ Profit from operations,4.28,7.75,8.13
  └─ Receivables,2.15,-7.45,-21.88
  └─ Payables,-1.93,1.85,17.21
  └─ Loans Advances,0.17,-0.32,-0.57
  └─ Other WC items,-1.36,0.62,-1.67
  └─ Working capital changes,-0.97,-5.31,-6.91
Cash from Investing Activity,-3,-1,-2
  └─ Fixed assets purchased,-3.95,-1.88,-1.48
  └─ Fixed assets sold,1.42,0.40,0.00
  └─ Interest received,0.23,0.19,0.02
  └─ Other investing items,-0.45,0.00,-0.04
Cash from Financing Activity,0,1,3
  └─ Proceeds from shares,0.00,0.00,0.17
  └─ Proceeds from borrowings,0.07,2.34,4.32
  └─ Repayment of borrowings,0.00,0.00,-0.76
  └─ Interest paid fin,-0.03,-0.85,-0.71
Net Cash Flow,1,3,3
  └─ Free Cash Flow,1,1,-0
  └─ CFO/OP,59%,25%,12%
