Metric,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,12,3,11,-23,-1,-56
  └─ Profit from operations,16,19,27,32,32,31
  └─ Receivables,3,-9,-11,-2,8,-1
  └─ Inventory,-13,1,-12,-15,-16,-59
  └─ Payables,7,3,9,2,-1,11
  └─ Loans Advances,-0,-8,8,-11,4,-0
  └─ Other WC items,-1,-2,-9,-25,-26,-35
  └─ Working capital changes,-4,-15,-14,-50,-31,-84
  └─ Direct taxes,-1,-1,-2,-4,-3,-4
Cash from Investing Activity,-13,-18,-39,-83,-128,-30
  └─ Fixed assets purchased,-13.31,-18.23,-39.50,-82.74,-128.04,-29.75
  └─ Investments purchased,0.00,0.00,0.00,0.00,-0.01,0.00
  └─ Investments sold,0.00,0.00,0.15,0.00,0.00,0.00
  └─ Interest received,0.03,0.03,0.09,0.16,0.49,0.13
Cash from Financing Activity,2,15,28,113,125,82
  └─ Proceeds from shares,0,0,0,12,64,0
  └─ Proceeds from borrowings,8,20,34,93,82,92
  └─ Repayment of borrowings,-2,0,0,0,-7,0
  └─ Interest paid fin,-4,-5,-6,-10,-8,-10
  └─ Other financing items,0,0,0,18,-5,0
Net Cash Flow,1,-1,0,7,-3,-3
  └─ Free Cash Flow,-2,-16,-29,-105,-129,-86
  └─ CFO/OP,96%,23%,69%,-74%,7%,-204%
