Metric,Mar 2026
Cash from Operating Activity,-6
  └─ Profit from operations,19.93
  └─ Loans Advances,-0.70
  └─ Other WC items,-25.54
  └─ Working capital changes,-26.24
  └─ Direct taxes,-0.10
Cash from Investing Activity,-6
  └─ Fixed assets purchased,-6.27
  └─ Investments purchased,-0.41
  └─ Dividends received,0.21
  └─ Other investing items,-0.04
Cash from Financing Activity,13
  └─ Proceeds from borrowings,15.80
  └─ Interest paid fin,-2.99
Net Cash Flow,-0
  └─ Free Cash Flow,-13
  └─ CFO/OP,-32%
