Metric,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,28,41,109,150,139,4,6,152,28,63
  └─ Profit from operations,112,130,111,104,165,161,152,196,127,136
  └─ Receivables,-66,-66,62,13,-20,-67,-86,-19,-29,-48
  └─ Inventory,-16,-15,-48,17,-21,-93,-57,6,-97,10
  └─ Payables,18,8,-1,16,35,29,26,-8,55,-8
  └─ Working capital changes,-64,-73,13,46,-6,-131,-117,-21,-72,-46
  └─ Direct taxes,-20,-16,-15,-0,-19,-25,-29,-23,-27,-27
Cash from Investing Activity,-9,-40,-70,-50,-97,-26,-118,-115,-34,-21
  └─ Fixed assets purchased,-13,-45,-39,-25,-31,-66,-137,-135,-73,-64
  └─ Fixed assets sold,0,2,2,1,0,1,1,1,0,0
  └─ Investments purchased,-5,0,-64,-254,-195,-58,-41,-17,0,0
  └─ Investments sold,2,0,33,210,164,57,48,32,28,42
  └─ Interest received,2,1,2,3,1,4,3,3,3,2
  └─ Other investing items,5,2,-3,14,-36,36,8,2,8,-0
Cash from Financing Activity,-4,18,-37,-66,-5,-7,50,-24,-4,-58
  └─ Proceeds from borrowings,10.41,31.62,0.00,0.00,1.91,38.60,83.69,25.46,56.02,0.00
  └─ Repayment of borrowings,-9.47,-0.63,-23.37,-39.58,-2.66,-3.12,0.00,-12.91,-20.58,-16.13
  └─ Interest paid fin,-4.53,-3.97,-4.45,-2.69,-1.76,-2.59,-4.80,-10.11,-12.89,-15.76
  └─ Dividends paid,-0.55,-9.16,-8.69,-21.72,0.00,-36.04,-25.23,-25.23,-25.23,-25.23
  └─ Financial liabilities,0.00,0.00,0.00,-2.17,-2.04,-3.81,-3.86,-1.49,-1.16,-0.65
Net Cash Flow,14,19,3,33,38,-29,-62,13,-9,-15
  └─ Free Cash Flow,15,-2,72,126,108,-61,-130,18,-44,-0
  └─ CFO/OP,48%,53%,114%,163%,101%,21%,23%,113%,43%,66%
