Metric,Mar 2020
  └─ Profit from operations,98
  └─ Receivables,2
  └─ Inventory,-60
  └─ Payables,-58
  └─ Other WC items,-21
  └─ Working capital changes,-137
  └─ Direct taxes,-17
  └─ Fixed assets purchased,-8.67
  └─ Fixed assets sold,0.08
  └─ Interest received,2.82
  └─ Other investing items,13.70
  └─ Proceeds from borrowings,82
  └─ Interest paid fin,-20
  └─ Dividends paid,-17
  └─ Financial liabilities,-8
  └─ Other financing items,4
