Metric,Mar 2026
Cash from Operating Activity,3.25
  └─ Profit from operations,8.17
  └─ Receivables,0.87
  └─ Inventory,-7.09
  └─ Payables,-0.08
  └─ Loans Advances,-0.54
  └─ Other WC items,4.54
  └─ Working capital changes,-2.30
  └─ Direct taxes,-2.62
Cash from Investing Activity,14.20
  └─ Fixed assets purchased,-1.38
  └─ Investments sold,43.56
  └─ Invest in subsidiaries,-27.98
Cash from Financing Activity,-12.64
  └─ Repayment of borrowings,-12.34
  └─ Interest paid fin,-0.30
Net Cash Flow,4.81
  └─ Free Cash Flow,1.87
  └─ CFO/OP,72%
