Metric,Mar 2023,Mar 2024
Cash from Operating Activity,25,25
  └─ Profit from operations,43.59,48.51
  └─ Receivables,-2.24,-4.15
  └─ Inventory,-6.58,0.69
  └─ Payables,1.18,-0.86
  └─ Loans Advances,0.04,-0.96
  └─ Other WC items,2.07,0.82
  └─ Working capital changes,-5.53,-4.45
  └─ Direct taxes,-12.62,-19.13
Cash from Investing Activity,-28,-23
  └─ Fixed assets purchased,-1,-0
  └─ Investments purchased,-43,-67
  └─ Interest received,16,45
  └─ Other investing items,-0,-0
Cash from Financing Activity,2,1
  └─ Proceeds from borrowings,2.96,0.88
  └─ Repayment of borrowings,-0.50,-0.13
  └─ Interest paid fin,-0.14,-0.23
Net Cash Flow,0,2
  └─ Free Cash Flow,25,25
  └─ CFO/OP,88%,92%
